Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.00043","0.00000","-0.00010"
"0.02000","0.00000","-0.07861","0.00000","-0.01856"
"0.04000","0.00000","0.12599","0.00000","0.02975"
"0.06000","0.00000","0.08821","0.00000","0.02083"
"0.08000","0.00000","-0.04869","0.00000","-0.01150"
"0.10000","0.00000","-0.11504","0.00000","-0.02716"
"0.12000","0.00000","-0.18222","0.00000","-0.04302"
"0.14000","0.00000","0.04786","0.00000","0.01130"
"0.16000","0.00000","0.06148","0.00000","0.01452"
"0.18000","0.00000","0.18734","0.00000","0.04423"
"0.20000","0.00012","0.11343","0.00000","0.02678"
"0.22000","0.00015","0.62294","0.00000","0.14708"
"0.24000","0.00016","1.08489","0.00001","0.25615"
"0.26000","0.00016","1.21722","0.00001","0.28740"
"0.28000","0.00016","1.18721","0.00001","0.28031"
"0.30000","0.00016","1.16699","0.00001","0.27554"
"0.32000","0.00016","1.04102","0.00001","0.24580"
"0.34000","0.00016","1.10240","0.00001","0.26029"
"0.36000","0.00016","1.10243","0.00001","0.26030"
"0.38000","0.00016","0.97265","0.00001","0.22965"
"0.40000","0.00016","1.13229","0.00001","0.26735"
"0.42000","0.00016","1.21680","0.00001","0.28730"
"0.44000","0.00016","1.33136","0.00001","0.31435"
"0.46000","0.00016","1.16456","0.00001","0.27497"
"0.48000","0.00016","0.89635","0.00001","0.21164"
"0.50000","0.00016","1.12812","0.00001","0.26636"
"0.52000","0.00016","1.30536","0.00001","0.30821"
"0.54000","0.00019","1.31058","0.00001","0.30944"
"0.56000","0.00019","1.20344","0.00001","0.28415"
"0.58000","0.00022","1.19648","0.00001","0.28250"
"0.60000","0.00021","1.32800","0.00001","0.31356"
"0.62000","0.00024","1.40908","0.00001","0.33270"
"0.64000","0.00024","1.52698","0.00001","0.36054"
"0.66000","0.00027","1.67130","0.00001","0.39461"
"0.68000","0.00029","1.99514","0.00001","0.47107"
"0.70000","0.00032","2.21425","0.00001","0.52281"
"0.72000","0.00035","2.36540","0.00001","0.55850"
"0.74000","0.00038","2.64608","0.00001","0.62477"
"0.76000","0.00040","2.91136","0.00001","0.68740"
"0.78000","0.00041","3.15010","0.00001","0.74377"
"0.80000","0.00043","3.34127","0.00001","0.78891"
"0.82000","0.00046","3.46882","0.00001","0.81903"
