Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.05936","0.00000","-0.01402"
"0.02000","0.00000","-0.17698","0.00000","-0.04179"
"0.04000","0.00000","-0.20665","0.00000","-0.04879"
"0.06000","0.00000","-0.24446","0.00000","-0.05772"
"0.08000","0.00000","-0.26879","0.00000","-0.06346"
"0.10000","0.00000","-0.03177","0.00000","-0.00750"
"0.12000","0.00000","0.24862","0.00000","0.05870"
"0.14000","0.00000","0.06886","0.00000","0.01626"
"0.16000","0.00000","0.20216","0.00000","0.04773"
"0.18000","0.00000","0.00558","0.00000","0.00132"
"0.20000","0.00004","-0.08784","0.00000","-0.02074"
"0.22000","0.00027","0.24444","0.00001","0.05771"
"0.24000","0.00027","1.36751","0.00001","0.32288"
"0.26000","0.00027","2.02060","0.00001","0.47709"
"0.28000","0.00027","2.19791","0.00001","0.51895"
"0.30000","0.00027","2.18472","0.00001","0.51584"
"0.32000","0.00027","2.19483","0.00001","0.51822"
"0.34000","0.00027","2.48580","0.00001","0.58693"
"0.36000","0.00027","2.62615","0.00001","0.62006"
"0.38000","0.00027","2.49048","0.00001","0.58803"
"0.40000","0.00027","2.11626","0.00001","0.49967"
"0.42000","0.00027","1.91887","0.00001","0.45307"
"0.44000","0.00027","1.91283","0.00001","0.45164"
"0.46000","0.00027","1.85325","0.00001","0.43757"
"0.48000","0.00027","1.80783","0.00001","0.42685"
"0.50000","0.00027","1.99580","0.00001","0.47123"
"0.52000","0.00027","1.98056","0.00001","0.46763"
"0.54000","0.00027","1.88060","0.00001","0.44403"
"0.56000","0.00027","1.66074","0.00001","0.39212"
"0.58000","0.00027","1.87733","0.00001","0.44326"
"0.60000","0.00027","2.17125","0.00001","0.51266"
"0.62000","0.00027","2.26304","0.00001","0.53433"
"0.64000","0.00027","1.96664","0.00001","0.46435"
"0.66000","0.00027","1.90182","0.00001","0.44904"
"0.68000","0.00027","1.97369","0.00001","0.46601"
"0.70000","0.00027","2.09564","0.00001","0.49480"
