Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.14613"
"0.02000","0.00000","0.31667"
"0.04000","0.00000","0.26911"
"0.06000","0.00000","-0.03808"
"0.08000","0.00000","-0.25426"
"0.10000","0.00000","-0.13537"
"0.12000","0.00000","-0.15726"
"0.14000","0.00000","-0.11609"
"0.16000","0.00000","0.01544"
"0.18000","0.00000","0.06511"
"0.20000","0.00000","-0.19272"
"0.22000","0.00000","-0.15670"
"0.24000","0.00000","0.11679"
"0.26000","0.00001","0.03398"
"0.28000","0.00003","-0.08656"
"0.30000","0.00003","-0.14389"
"0.32000","0.00003","-0.21506"
"0.34000","0.00003","-0.09462"
"0.36000","0.00003","-0.15883"
"0.38000","0.00003","-0.26927"
"0.40000","0.00003","-0.46244"
"0.42000","0.00003","-0.44253"
"0.44000","0.00005","-0.14096"
"0.46000","0.00005","0.07793"
"0.48000","0.00005","0.28084"
"0.50000","0.00008","0.05712"
"0.52000","0.00008","-0.21011"
"0.54000","0.00008","-0.04751"
"0.56000","0.00011","0.10214"
"0.58000","0.00011","0.06418"
"0.60000","0.00013","0.02067"
"0.62000","0.00013","0.16861"
"0.64000","0.00016","0.25436"
"0.66000","0.00016","0.25339"
"0.68000","0.00019","0.16057"
"0.70000","0.00022","0.38718"
"0.72000","0.00021","0.36380"
"0.74000","0.00024","0.39865"
"0.76000","0.00024","0.43880"
"0.78000","0.00027","0.69614"
"0.80000","0.00029","0.96551"
"0.82000","0.00032","1.21919"
"0.84000","0.00037","1.48233"
"0.86000","0.00040","1.85044"
"0.88000","0.00043","2.08389"
"0.90000","0.00046","2.01069"
"0.92000","0.00048","2.02663"
"0.94000","0.00051","2.38225"
"0.96000","0.00054","2.53553"
"0.98000","0.00056","2.63777"
"1.00000","0.00059","2.98217"
"1.02000","0.00059","2.98257"
"1.04000","0.00062","3.07317"
"1.06000","0.00064","3.30867"
"1.08000","0.00064","3.45634"
"1.10000","0.00067","3.60863"
"1.12000","0.00070","3.57812"
"1.14000","0.00070","3.75676"
"1.16000","0.00072","3.99012"
"1.18000","0.00075","4.04791"
"1.20000","0.00075","3.90788"
"1.22000","0.00078","4.17076"
"1.24000","0.00078","4.51384"
"1.26000","0.00080","4.75442"
"1.28000","0.00083","4.86698"
"1.30000","0.00083","4.82529"
"1.32000","0.00086","5.00143"
"1.34000","0.00087","5.11973"
"1.36000","0.00088","5.36149"
"1.38000","0.00091","5.32906"
"1.40000","0.00091","5.58798"
"1.42000","0.00094","5.61841"
"1.44000","0.00096","5.65022"
"1.46000","0.00098","5.71416"
"1.48000","0.00099","5.83343"
"1.50000","0.00102","6.18769"
"1.52000","0.00102","6.26271"
"1.54000","0.00104","6.26462"
"1.56000","0.00107","6.50963"
"1.58000","0.00107","6.77384"
"1.60000","0.00110","6.97880"
"1.62000","0.00113","6.94267"
"1.64000","0.00112","6.99068"
"1.66000","0.00115","7.21655"
"1.68000","0.00117","7.59573"
"1.70000","0.00118","7.73521"
"1.72000","0.00121","7.74486"
"1.74000","0.00121","8.02849"
"1.76000","0.00123","8.10713"
"1.78000","0.00126","8.32118"
"1.80000","0.00126","8.49847"
"1.82000","0.00129","8.58906"
"1.84000","0.00129","8.81346"
"1.86000","0.00131","9.00336"
"1.88000","0.00134","9.21063"
"1.90000","0.00134","9.35035"
"1.92000","0.00137","9.29972"
"1.94000","0.00139","9.39735"
"1.96000","0.00139","9.57193"
"1.98000","0.00142","9.92740"
"2.00000","0.00143","10.05109"
"2.02000","0.00145","10.02247"
"2.04000","0.00147","10.31126"
"2.06000","0.00147","10.46096"
"2.08000","0.00150","10.54881"
"2.10000","0.00152","10.87598"
"2.12000","0.00153","11.03784"
"2.14000","0.00155","10.92204"
"2.16000","0.00158","11.24148"
"2.18000","0.00158","11.43697"
"2.20000","0.00161","11.38639"
"2.22000","0.00162","11.68882"
"2.24000","0.00163","11.87974"
"2.26000","0.00166","12.31225"
"2.28000","0.00166","12.26315"
"2.30000","0.00169","12.34874"
"2.32000","0.00170","12.61507"
"2.34000","0.00171","12.83932"
"2.36000","0.00174","12.97931"
"2.38000","0.00174","13.08085"
"2.40000","0.00177","13.25427"
"2.42000","0.00179","13.41587"
"2.44000","0.00179","13.59504"
"2.46000","0.00182","13.80424"
"2.48000","0.00182","13.89444"
"2.50000","0.00185","14.12829"
"2.52000","0.00188","14.34860"
"2.54000","0.00187","14.42627"
"2.56000","0.00190","14.69040"
"2.58000","0.00193","14.80721"
"2.60000","0.00193","14.87975"
"2.62000","0.00196","15.12228"
"2.64000","0.00196","15.33210"
"2.66000","0.00198","15.48314"
"2.68000","0.00201","15.77382"
"2.70000","0.00201","15.81739"
"2.72000","0.00204","15.65083"
"2.74000","0.00206","15.81484"
"2.76000","0.00206","16.00502"
"2.78000","0.00209","16.30863"
"2.80000","0.00211","16.44594"
"2.82000","0.00212","16.64942"
"2.84000","0.00214","16.90321"
"2.86000","0.00214","17.26645"
"2.88000","0.00217","17.67564"
"2.90000","0.00220","17.57473"
"2.92000","0.00220","17.79808"
"2.94000","0.00222","17.87202"
"2.96000","0.00224","17.90339"
"2.98000","0.00225","18.16177"
"3.00000","0.00228","18.47661"
"3.02000","0.00228","18.58277"
"3.04000","0.00230","18.63833"
