Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","-0.26535"
"0.05000","0.00000","-0.55582"
"0.10000","0.00000","-0.59215"
"0.15000","0.00000","-0.76320"
"0.20000","0.00000","-0.95031"
"0.25000","0.00024","0.24766"
"0.30000","0.00024","1.42831"
"0.35000","0.00024","0.54343"
"0.40000","0.00024","1.23177"
"0.45000","0.00024","1.30060"
"0.50000","0.00024","1.11111"
"0.55000","0.00024","0.39468"
"0.60000","0.00024","1.55105"
"0.65000","0.00024","1.32790"
"0.70000","0.00024","-0.54530"
"0.75000","0.00030","-0.00756"
"0.80000","0.00035","1.01310"
"0.85000","0.00043","1.82932"
"0.90000","0.00048","3.06223"
"0.95000","0.00054","3.66915"
"1.00000","0.00059","2.99270"
"1.05000","0.00064","4.52859"
"1.10000","0.00070","5.11975"
"1.15000","0.00075","5.52812"
"1.20000","0.00078","4.95444"
"1.25000","0.00083","6.21878"
"1.30000","0.00086","5.37269"
"1.35000","0.00091","6.73333"
"1.40000","0.00096","7.51253"
"1.45000","0.00099","7.51325"
"1.50000","0.00104","6.72754"
"1.55000","0.00107","6.64315"
"1.60000","0.00112","7.24738"
"1.65000","0.00115","7.56943"
"1.70000","0.00121","7.81235"
"1.75000","0.00123","8.38740"
"1.80000","0.00129","9.16463"
"1.85000","0.00134","10.07811"
"1.90000","0.00137","10.17446"
"1.95000","0.00142","10.29757"
"2.00000","0.00145","11.23546"
"2.05000","0.00150","12.46975"
"2.10000","0.00153","12.74195"
"2.15000","0.00158","12.06920"
"2.20000","0.00161","13.49249"
"2.25000","0.00166","13.39866"
"2.30000","0.00169","14.08656"
"2.35000","0.00174","14.72087"
"2.40000","0.00177","15.45764"
"2.45000","0.00182","15.23809"
"2.50000","0.00188","16.05643"
"2.55000","0.00190","16.53933"
"2.60000","0.00194","16.66524"
"2.65000","0.00198","17.26215"
"2.70000","0.00204","17.62667"
"2.75000","0.00209","18.00011"
"2.80000","0.00212","18.61763"
"2.85000","0.00217","19.11462"
"2.90000","0.00220","20.00239"
"2.95000","0.00225","20.14359"
"3.00000","0.00229","20.89074"
"3.05000","0.00233","21.06025"
"3.10000","0.00238","21.58305"
"3.15000","0.00241","22.24366"
"3.20000","0.00246","22.31787"
"3.25000","0.00252","23.10082"
"3.30000","0.00254","24.07139"
"3.35000","0.00260","24.48007"
"3.40000","0.00264","25.02169"
"3.45000","0.00268","25.97441"
"3.50000","0.00273","26.32340"
"3.55000","0.00276","26.68188"
"3.60000","0.00281","27.19976"
"3.65000","0.00284","28.25923"
"3.70000","0.00289","28.34396"
"3.75000","0.00295","29.05652"
"3.80000","0.00297","29.79502"
"3.85000","0.00303","30.18619"
"3.90000","0.00305","30.48298"
"3.95000","0.00311","31.25177"
"4.00000","0.00316","31.54109"
"4.05000","0.00319","32.24126"
"4.10000","0.00324","32.56333"
"4.15000","0.00329","33.04330"
"4.20000","0.00332","33.74222"
"4.25000","0.00338","34.33967"
"4.30000","0.00343","34.95416"
"4.35000","0.00346","34.76163"
"4.40000","0.00351","36.56434"
"4.45000","0.00356","37.12698"
"4.50000","0.00359","37.67593"
"4.55000","0.00364","36.61070"
"4.60000","0.00367","37.30268"
"4.65000","0.00372","37.87613"
"4.70000","0.00376","39.68351"
"4.75000","0.00380","40.61739"
"4.80000","0.00386","41.09909"
"4.85000","0.00388","41.80964"
"4.90000","0.00394","42.10265"
"4.95000","0.00396","42.81849"
"5.00000","0.00402","43.15446"
"5.05000","0.00404","43.50147"
"5.10000","0.00410","42.63816"
"5.15000","0.00412","44.77848"
"5.20000","0.00418","44.41224"
"5.25000","0.00421","43.72584"
"5.30000","0.00426","44.40966"
"5.35000","0.00429","45.02118"
"5.40000","0.00434","45.49076"
"5.45000","0.00437","45.89777"
"5.50000","0.00442","46.35652"
"5.55000","0.00445","47.20919"
"5.60000","0.00449","47.48974"
"5.65000","0.00453","47.71656"
"5.70000","0.00455","48.09163"
"5.75000","0.00461","48.85266"
"5.80000","0.00463","49.06761"
"5.85000","0.00469","49.50447"
"5.90000","0.00471","50.16054"
"5.95000","0.00477","50.82321"
"6.00000","0.00482","51.52212"
"6.05000","0.00485","51.97456"
"6.10000","0.00490","52.36981"
"6.15000","0.00493","53.11569"
"6.20000","0.00498","53.43595"
