Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.06097"
"0.05000","0.00000","-0.01310"
"0.10000","-0.00003","-0.44076"
"0.15000","0.00000","0.13689"
"0.20000","0.00000","0.01909"
"0.25000","0.00000","-0.32333"
"0.30000","0.00003","-0.08761"
"0.35000","0.00003","-0.27883"
"0.40000","0.00003","-0.20760"
"0.45000","0.00005","-0.07994"
"0.50000","0.00010","0.13651"
"0.55000","0.00021","-0.02717"
"0.60000","0.00033","0.10995"
"0.65000","0.00043","-0.10076"
"0.70000","0.00051","0.07698"
"0.75000","0.00056","-0.26939"
"0.80000","0.00059","0.07019"
"0.85000","0.00064","0.01243"
"0.90000","0.00070","-0.10329"
"0.95000","0.00072","0.06160"
"1.00000","0.00078","-0.27827"
"1.05000","0.00080","-0.03491"
"1.10000","0.00086","-0.03473"
"1.15000","0.00091","-0.21581"
"1.20000","0.00094","0.04736"
"1.25000","0.00099","-0.08553"
"1.30000","0.00102","-0.12960"
"1.35000","0.00107","-0.30489"
"1.40000","0.00110","-0.32655"
"1.45000","0.00113","0.03691"
"1.50000","0.00118","0.05321"
"1.55000","0.00121","0.24812"
"1.60000","0.00126","-0.03957"
"1.65000","0.00129","-0.17150"
"1.70000","0.00134","-0.32901"
"1.75000","0.00137","0.01556"
"1.80000","0.00139","0.30183"
"1.85000","0.00145","-0.25446"
"1.90000","0.00147","-0.00265"
"1.95000","0.00153","-0.07013"
"2.00000","0.00158","-0.21025"
"2.05000","0.00161","0.16504"
"2.10000","0.00166","0.05183"
"2.15000","0.00169","-0.07615"
"2.20000","0.00174","-0.09023"
"2.25000","0.00177","-0.16698"
"2.30000","0.00182","-0.21246"
"2.35000","0.00187","-0.22815"
"2.40000","0.00190","-0.16666"
"2.45000","0.00196","0.08531"
"2.50000","0.00198","0.07264"
"2.55000","0.00203","-0.22265"
"2.60000","0.00206","0.03890"
"2.65000","0.00212","-0.11397"
"2.70000","0.00216","-0.08742"
"2.75000","0.00220","-0.10672"
"2.80000","0.00222","-0.11607"
"2.85000","0.00228","0.13447"
"2.90000","0.00233","-0.09180"
"2.95000","0.00236","0.06323"
"3.00000","0.00241","-0.19905"
"3.05000","0.00244","-0.15002"
"3.10000","0.00249","-0.22157"
"3.15000","0.00255","0.19196"
"3.20000","0.00257","-0.33079"
"3.25000","0.00263","-0.05883"
"3.30000","0.00265","-0.01471"
"3.35000","0.00271","0.16481"
"3.40000","0.00276","0.14242"
"3.45000","0.00279","-0.00710"
"3.50000","0.00284","-0.16051"
"3.55000","0.00289","-0.23719"
"3.60000","0.00292","0.10774"
"3.65000","0.00297","-0.06386"
"3.70000","0.00301","-0.22493"
"3.75000","0.00305","0.16567"
"3.80000","0.00311","0.04280"
"3.85000","0.00313","-0.02452"
"3.90000","0.00319","0.10081"
"3.95000","0.00324","-0.00720"
"4.00000","0.00327","0.11849"
"4.05000","0.00332","-0.27415"
"4.10000","0.00335","-0.09667"
"4.15000","0.00340","-0.15443"
"4.20000","0.00346","-0.21985"
"4.25000","0.00348","-0.25521"
"4.30000","0.00354","-0.11904"
"4.35000","0.00356","0.12742"
"4.40000","0.00362","0.00612"
"4.45000","0.00364","0.05449"
"4.50000","0.00367","0.15820"
"4.55000","0.00372","-0.02048"
"4.60000","0.00375","-0.20716"
"4.65000","0.00379","0.32586"
"4.70000","0.00383","0.21210"
"4.75000","0.00386","-0.28937"
"4.80000","0.00394","0.09781"
"4.85000","0.00402","0.02421"
"4.90000","0.00404","-0.26429"
"4.95000","0.00410","0.02963"
"5.00000","0.00411","-0.02855"
"5.05000","0.00415","-0.05498"
"5.10000","0.00421","0.20072"
"5.15000","0.00423","0.01968"
"5.20000","0.00426","-0.27650"
"5.25000","0.00431","0.03511"
