Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","-0.29298"
"0.02000","0.00000","-0.12814"
"0.04000","0.00000","0.00385"
"0.06000","0.00000","0.09056"
"0.08000","0.00000","0.08578"
"0.10000","0.00000","-0.11934"
"0.12000","0.00000","-0.02283"
"0.14000","-0.00001","-0.11381"
"0.16000","-0.00027","-0.93625"
"0.18000","-0.00027","-2.52248"
"0.20000","-0.00027","-3.66402"
"0.22000","-0.00024","-4.03994"
"0.24000","-0.00024","-3.95745"
"0.26000","-0.00024","-4.00664"
"0.28000","-0.00021","-3.58060"
"0.30000","-0.00019","-3.41630"
"0.32000","-0.00019","-3.19106"
"0.34000","-0.00016","-2.89435"
"0.36000","-0.00016","-2.63218"
"0.38000","-0.00013","-2.60692"
"0.40000","-0.00011","-2.37772"
"0.42000","-0.00008","-2.07278"
"0.44000","-0.00008","-1.85045"
"0.46000","-0.00005","-1.44498"
"0.48000","-0.00001","-1.09923"
"0.50000","0.00003","-0.69931"
"0.52000","0.00005","-0.26409"
"0.54000","0.00011","0.34083"
"0.56000","0.00013","0.94695"
"0.58000","0.00019","1.50438"
"0.60000","0.00021","2.30234"
"0.62000","0.00026","3.07640"
"0.64000","0.00029","3.67912"
"0.66000","0.00035","4.18962"
"0.68000","0.00038","4.89351"
"0.70000","0.00040","5.76981"
"0.72000","0.00043","6.56708"
"0.74000","0.00046","7.04030"
"0.76000","0.00049","7.69386"
"0.78000","0.00051","8.21962"
"0.80000","0.00054","8.83858"
"0.82000","0.00056","9.32900"
"0.84000","0.00059","9.45567"
"0.86000","0.00059","9.79913"
"0.88000","0.00062","10.13938"
"0.90000","0.00064","10.47661"
"0.92000","0.00064","10.96493"
"0.94000","0.00067","11.39399"
"0.96000","0.00070","11.62582"
"0.98000","0.00070","12.15030"
"1.00000","0.00072","12.47672"
"1.02000","0.00075","12.81148"
"1.04000","0.00075","13.23134"
"1.06000","0.00078","13.43362"
"1.08000","0.00080","13.65291"
"1.10000","0.00080","14.07685"
"1.12000","0.00083","14.42005"
"1.14000","0.00086","14.74968"
"1.16000","0.00086","15.07750"
"1.18000","0.00088","15.44571"
"1.20000","0.00090","15.77823"
"1.22000","0.00091","16.12076"
"1.24000","0.00094","16.55573"
"1.26000","0.00097","17.04353"
"1.28000","0.00096","17.42598"
"1.30000","0.00099","17.63930"
"1.32000","0.00102","18.04811"
"1.34000","0.00103","18.35097"
"1.36000","0.00104","18.65192"
"1.38000","0.00107","18.92111"
"1.40000","0.00107","19.33433"
"1.42000","0.00110","19.67762"
"1.44000","0.00111","20.09441"
"1.46000","0.00112","20.46260"
"1.48000","0.00115","20.87693"
"1.50000","0.00117","21.15425"
"1.52000","0.00118","21.49024"
"1.54000","0.00121","21.77348"
