Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.01991"
"0.02000","0.00000","-0.01245"
"0.04000","0.00000","-0.10497"
"0.06000","0.00000","-0.30250"
"0.08000","0.00002","-0.30215"
"0.10000","-0.00011","-0.37310"
"0.12000","-0.00011","-0.57356"
"0.14000","-0.00011","-0.67322"
"0.16000","-0.00011","-0.79276"
"0.18000","-0.00008","-0.67934"
"0.20000","-0.00008","-0.61016"
"0.22000","-0.00008","-0.59196"
"0.24000","-0.00005","-0.67456"
"0.26000","-0.00005","-0.95297"
"0.28000","-0.00005","-0.80730"
"0.30000","-0.00003","-0.60685"
"0.32000","-0.00003","-0.46442"
"0.34000","0.00000","-0.29129"
"0.36000","0.00000","-0.26900"
"0.38000","0.00003","-0.25609"
"0.40000","0.00003","-0.13607"
"0.42000","0.00003","0.06042"
"0.44000","0.00007","0.21506"
"0.46000","0.00011","0.35333"
"0.48000","0.00016","0.49786"
"0.50000","0.00019","0.88298"
"0.52000","0.00021","0.97010"
"0.54000","0.00026","1.17946"
"0.56000","0.00030","1.51450"
"0.58000","0.00032","1.71794"
"0.60000","0.00035","1.96070"
"0.62000","0.00037","2.27258"
"0.64000","0.00040","2.55518"
"0.66000","0.00043","2.76761"
"0.68000","0.00046","3.13803"
"0.70000","0.00048","3.50521"
"0.72000","0.00050","3.64769"
"0.74000","0.00051","3.70779"
"0.76000","0.00054","3.91616"
"0.78000","0.00056","4.17486"
"0.80000","0.00059","4.42882"
"0.82000","0.00059","4.66690"
"0.84000","0.00062","4.53483"
"0.86000","0.00064","4.63266"
"0.88000","0.00064","5.10046"
"0.90000","0.00067","5.41679"
"0.92000","0.00070","5.36863"
"0.94000","0.00070","5.37095"
"0.96000","0.00072","5.69854"
"0.98000","0.00072","5.89889"
"1.00000","0.00075","6.00029"
"1.02000","0.00078","6.21055"
"1.04000","0.00078","6.42613"
"1.06000","0.00080","6.79505"
"1.08000","0.00083","7.01073"
"1.10000","0.00083","7.05347"
"1.12000","0.00086","7.33592"
"1.14000","0.00088","7.41915"
"1.16000","0.00088","7.50925"
"1.18000","0.00091","7.86738"
"1.20000","0.00091","8.17585"
"1.22000","0.00094","8.30767"
"1.24000","0.00096","8.15921"
"1.26000","0.00096","8.26221"
"1.28000","0.00099","8.30480"
"1.30000","0.00102","8.74761"
"1.32000","0.00102","8.94248"
"1.34000","0.00104","9.05541"
"1.36000","0.00107","9.26374"
"1.38000","0.00107","9.35811"
"1.40000","0.00110","9.43275"
"1.42000","0.00112","9.50655"
"1.44000","0.00112","9.52333"
"1.46000","0.00115","9.72683"
"1.48000","0.00117","10.07866"
"1.50000","0.00118","10.22750"
"1.52000","0.00121","10.42227"
"1.54000","0.00121","10.80902"
"1.56000","0.00123","11.03242"
"1.58000","0.00126","10.96631"
"1.60000","0.00127","11.38093"
"1.62000","0.00129","11.51650"
"1.64000","0.00131","11.64543"
"1.66000","0.00134","11.83031"
"1.68000","0.00134","11.87384"
"1.70000","0.00137","12.22528"
"1.72000","0.00139","12.57541"
"1.74000","0.00141","12.70002"
"1.76000","0.00142","12.86101"
"1.78000","0.00145","13.05340"
"1.80000","0.00147","13.15526"
"1.82000","0.00147","13.45723"
"1.84000","0.00150","13.80272"
"1.86000","0.00152","13.93274"
"1.88000","0.00153","13.91473"
"1.90000","0.00155","13.87247"
"1.92000","0.00158","14.24186"
"1.94000","0.00158","14.44785"
"1.96000","0.00161","14.72577"
"1.98000","0.00161","14.93733"
"2.00000","0.00163","15.07170"
"2.02000","0.00166","15.21929"
"2.04000","0.00166","15.25728"
"2.06000","0.00169","15.35188"
"2.08000","0.00172","15.99447"
"2.10000","0.00171","16.05879"
"2.12000","0.00174","16.21336"
"2.14000","0.00174","16.58099"
"2.16000","0.00177","16.73997"
"2.18000","0.00180","16.60086"
"2.20000","0.00179","16.81250"
"2.22000","0.00182","17.02436"
"2.24000","0.00182","17.04801"
"2.26000","0.00185","17.38322"
"2.28000","0.00188","17.89374"
"2.30000","0.00188","18.11162"
"2.32000","0.00190","18.07140"
"2.34000","0.00190","17.86857"
"2.36000","0.00193","17.97811"
"2.38000","0.00196","18.35195"
"2.40000","0.00196","18.72991"
"2.42000","0.00198","18.98073"
"2.44000","0.00201","19.22734"
"2.46000","0.00201","19.39128"
"2.48000","0.00204","19.57094"
"2.50000","0.00204","19.58311"
"2.52000","0.00206","19.95781"
"2.54000","0.00209","20.17036"
"2.56000","0.00209","20.13913"
"2.58000","0.00212","20.17410"
"2.60000","0.00214","20.48420"
"2.62000","0.00214","20.89302"
"2.64000","0.00217","20.87675"
"2.66000","0.00217","20.85172"
"2.68000","0.00220","21.30482"
"2.70000","0.00220","21.62153"
"2.72000","0.00222","21.74342"
"2.74000","0.00225","22.03004"
"2.76000","0.00225","22.11526"
"2.78000","0.00228","22.12850"
"2.80000","0.00229","22.30676"
"2.82000","0.00230","22.51512"
"2.84000","0.00233","22.54130"
"2.86000","0.00233","22.71825"
"2.88000","0.00236","22.83203"
"2.90000","0.00238","23.24648"
"2.92000","0.00238","23.41513"
"2.94000","0.00241","23.41571"
"2.96000","0.00241","23.51911"
"2.98000","0.00244","23.80737"
"3.00000","0.00244","23.89514"
"3.02000","0.00246","24.16397"
"3.04000","0.00249","24.42228"
"3.06000","0.00249","24.72972"
"3.08000","0.00252","24.74939"
"3.10000","0.00252","24.89169"
"3.12000","0.00254","25.16235"
"3.14000","0.00254","25.27032"
"3.16000","0.00257","25.29648"
"3.18000","0.00257","25.34194"
"3.20000","0.00260","25.33286"
"3.22000","0.00260","25.91508"
"3.24000","0.00262","26.22774"
"3.26000","0.00262","26.28123"
"3.28000","0.00265","26.46079"
"3.30000","0.00265","26.53350"
"3.32000","0.00268","26.62327"
"3.34000","0.00268","26.84959"
"3.36000","0.00271","26.76148"
"3.38000","0.00273","26.94539"
"3.40000","0.00273","27.37105"
"3.42000","0.00276","27.79935"
"3.44000","0.00277","28.09866"
"3.46000","0.00279","27.97213"
"3.48000","0.00281","28.02778"
"3.50000","0.00281","28.52225"
"3.52000","0.00284","28.72169"
"3.54000","0.00287","28.89487"
"3.56000","0.00287","29.28759"
"3.58000","0.00289","29.44201"
"3.60000","0.00292","29.36626"
"3.62000","0.00292","29.56978"
"3.64000","0.00295","29.91762"
"3.66000","0.00297","30.07304"
"3.68000","0.00297","30.15105"
"3.70000","0.00300","30.25875"
"3.72000","0.00301","30.57473"
"3.74000","0.00303","30.87465"
"3.76000","0.00305","30.91520"
"3.78000","0.00305","31.21518"
"3.80000","0.00308","31.56686"
"3.82000","0.00308","31.78430"
"3.84000","0.00311","31.89725"
"3.86000","0.00313","31.97661"
"3.88000","0.00313","32.10109"
"3.90000","0.00316","32.28376"
"3.92000","0.00318","32.50018"
"3.94000","0.00319","32.63306"
"3.96000","0.00321","32.91465"
"3.98000","0.00321","33.48619"
"4.00000","0.00324","33.60817"
"4.02000","0.00327","33.62341"
"4.04000","0.00327","34.02979"
"4.06000","0.00329","34.10204"
"4.08000","0.00332","34.22318"
"4.10000","0.00332","34.55042"
"4.12000","0.00335","34.89455"
"4.14000","0.00335","34.89625"
"4.16000","0.00338","34.91664"
"4.18000","0.00340","35.23553"
"4.20000","0.00340","35.34044"
"4.22000","0.00343","35.84509"
"4.24000","0.00346","36.33089"
"4.26000","0.00346","36.03590"
"4.28000","0.00348","36.02330"
"4.30000","0.00351","36.04488"
"4.32000","0.00351","36.52843"
"4.34000","0.00354","36.85634"
"4.36000","0.00356","37.07790"
"4.38000","0.00356","37.28012"
"4.40000","0.00359","37.42070"
"4.42000","0.00359","37.68967"
"4.44000","0.00362","38.25909"
"4.46000","0.00364","38.42590"
"4.48000","0.00364","38.43497"
"4.50000","0.00367","38.63300"
"4.52000","0.00370","38.80041"
"4.54000","0.00370","39.01718"
"4.56000","0.00372","39.25586"
"4.58000","0.00375","39.31516"
"4.60000","0.00375","39.48312"
"4.62000","0.00378","39.86536"
"4.64000","0.00378","40.08382"
"4.66000","0.00380","40.41356"
"4.68000","0.00383","40.68412"
"4.70000","0.00383","40.76883"
"4.72000","0.00386","40.71030"
"4.74000","0.00389","41.03339"
"4.76000","0.00388","41.64648"
"4.78000","0.00391","41.85984"
"4.80000","0.00393","41.88663"
"4.82000","0.00394","41.82800"
"4.84000","0.00396","41.80270"
"4.86000","0.00398","42.22468"
"4.88000","0.00399","42.43119"
"4.90000","0.00402","42.74726"
"4.92000","0.00402","43.01426"
"4.94000","0.00404","43.39705"
"4.96000","0.00407","43.77520"
"4.98000","0.00407","43.99739"
"5.00000","0.00410","44.05893"
"5.02000","0.00412","44.07933"
"5.04000","0.00412","44.52187"
"5.06000","0.00415","44.69574"
"5.08000","0.00418","44.84346"
"5.10000","0.00418","44.91267"
"5.12000","0.00421","45.29289"
"5.14000","0.00423","45.50228"
"5.16000","0.00425","45.67006"
"5.18000","0.00426","46.08189"
"5.20000","0.00429","46.39955"
"5.22000","0.00431","46.79117"
"5.24000","0.00431","47.11509"
"5.26000","0.00434","47.09361"
"5.28000","0.00437","47.19913"
"5.30000","0.00437","47.20485"
"5.32000","0.00439","47.36948"
"5.34000","0.00442","47.61299"
"5.36000","0.00442","47.96726"
"5.38000","0.00445","48.12729"
"5.40000","0.00447","48.30594"
"5.42000","0.00447","48.43164"
"5.44000","0.00450","48.76382"
"5.46000","0.00453","49.08817"
"5.48000","0.00453","49.07688"
"5.50000","0.00455","48.95899"
"5.52000","0.00455","49.47210"
"5.54000","0.00458","49.88605"
"5.56000","0.00460","49.95587"
"5.58000","0.00461","50.26241"
"5.60000","0.00463","50.60885"
"5.62000","0.00463","50.81878"
"5.64000","0.00466","50.97574"
"5.66000","0.00469","51.38477"
"5.68000","0.00469","51.46870"
"5.70000","0.00471","51.36395"
"5.72000","0.00472","51.28393"
"5.74000","0.00474","51.82051"
"5.76000","0.00476","52.04583"
"5.78000","0.00477","52.34509"
"5.80000","0.00479","52.71363"
"5.82000","0.00479","52.71496"
"5.84000","0.00482","52.79640"
"5.86000","0.00485","53.18863"
"5.88000","0.00485","53.44725"
