Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.48592","0.00000","-0.11473"
"0.02000","0.00000","-0.41636","0.00000","-0.09831"
"0.04000","0.00000","-0.21644","0.00000","-0.05110"
"0.06000","0.00000","-0.33708","0.00000","-0.07959"
"0.08000","0.00000","-0.32412","0.00000","-0.07653"
"0.10000","0.00000","-0.16675","0.00000","-0.03937"
"0.12000","0.00000","-0.07251","0.00000","-0.01712"
"0.14000","0.00000","-0.09352","0.00000","-0.02208"
"0.16000","0.00000","-0.05572","0.00000","-0.01316"
"0.18000","0.00000","0.03318","0.00000","0.00783"
"0.20000","0.00000","0.04568","0.00000","0.01079"
"0.22000","0.00015","0.19439","0.00000","0.04590"
"0.24000","0.00025","1.02936","0.00001","0.24304"
"0.26000","0.00024","1.84532","0.00001","0.43570"
"0.28000","0.00027","2.01778","0.00001","0.47642"
"0.30000","0.00024","2.09565","0.00001","0.49481"
"0.32000","0.00024","2.02897","0.00001","0.47906"
"0.34000","0.00024","1.94678","0.00001","0.45966"
"0.36000","0.00024","1.75595","0.00001","0.41460"
"0.38000","0.00024","1.79323","0.00001","0.42340"
"0.40000","0.00024","2.04886","0.00001","0.48376"
"0.42000","0.00024","1.98618","0.00001","0.46896"
"0.44000","0.00024","1.96526","0.00001","0.46402"
"0.46000","0.00024","1.88542","0.00001","0.44517"
"0.48000","0.00024","1.91207","0.00001","0.45146"
"0.50000","0.00024","2.26907","0.00001","0.53575"
"0.52000","0.00024","2.12371","0.00001","0.50143"
"0.54000","0.00024","1.88629","0.00001","0.44537"
"0.56000","0.00024","1.90873","0.00001","0.45067"
"0.58000","0.00024","1.80520","0.00001","0.42623"
"0.60000","0.00024","1.80163","0.00001","0.42538"
"0.62000","0.00024","1.94515","0.00001","0.45927"
"0.64000","0.00027","2.27899","0.00001","0.53809"
"0.66000","0.00027","1.83474","0.00001","0.43320"
"0.68000","0.00027","1.32896","0.00001","0.31378"
"0.70000","0.00027","1.70430","0.00001","0.40240"
"0.72000","0.00030","2.32062","0.00001","0.54792"
"0.74000","0.00029","2.60079","0.00001","0.61408"
"0.76000","0.00032","2.29191","0.00001","0.54115"
"0.78000","0.00035","2.16830","0.00001","0.51196"
"0.80000","0.00038","2.51608","0.00001","0.59407"
"0.82000","0.00040","2.97936","0.00001","0.70346"
"0.84000","0.00042","3.53578","0.00001","0.83484"
"0.86000","0.00043","3.77883","0.00001","0.89222"
"0.88000","0.00046","3.31089","0.00001","0.78174"
"0.90000","0.00048","3.43769","0.00002","0.81168"
"0.92000","0.00051","3.95845","0.00002","0.93463"
"0.94000","0.00053","4.70117","0.00002","1.11000"
"0.96000","0.00054","5.11641","0.00002","1.20804"
"0.98000","0.00056","4.79406","0.00002","1.13193"
"1.00000","0.00059","4.47997","0.00002","1.05777"
"1.02000","0.00062","4.59198","0.00002","1.08422"
"1.04000","0.00063","5.24631","0.00002","1.23871"
"1.06000","0.00064","5.69983","0.00002","1.34579"
"1.08000","0.00067","5.61750","0.00002","1.32635"
"1.10000","0.00070","5.54359","0.00002","1.30890"
"1.12000","0.00070","6.05508","0.00002","1.42967"
"1.14000","0.00072","6.42033","0.00002","1.51591"
"1.16000","0.00075","6.91881","0.00002","1.63361"
"1.18000","0.00075","7.08757","0.00002","1.67345"
"1.20000","0.00078","6.86442","0.00002","1.62076"
"1.22000","0.00080","6.76997","0.00003","1.59847"
"1.24000","0.00080","7.12603","0.00003","1.68254"
"1.26000","0.00083","7.40620","0.00003","1.74869"
"1.28000","0.00086","7.51570","0.00003","1.77454"
"1.30000","0.00086","7.51332","0.00003","1.77398"
"1.32000","0.00088","7.64016","0.00003","1.80393"
"1.34000","0.00091","8.04562","0.00003","1.89966"
"1.36000","0.00093","8.58262","0.00003","2.02645"
"1.38000","0.00094","9.04153","0.00003","2.13481"
"1.40000","0.00096","9.18241","0.00003","2.16807"
"1.42000","0.00099","8.94980","0.00003","2.11315"
"1.44000","0.00099","8.86862","0.00003","2.09398"
"1.46000","0.00102","9.14514","0.00003","2.15927"
"1.48000","0.00104","9.71299","0.00003","2.29334"
"1.50000","0.00104","10.14272","0.00003","2.39481"
"1.52000","0.00107","10.04214","0.00003","2.37106"
"1.54000","0.00107","9.97179","0.00003","2.35445"
"1.56000","0.00110","10.31016","0.00003","2.43434"
"1.58000","0.00113","10.80246","0.00004","2.55058"
"1.60000","0.00113","11.01139","0.00004","2.59991"
"1.62000","0.00115","11.00620","0.00004","2.59869"
"1.64000","0.00118","11.10336","0.00004","2.62163"
"1.66000","0.00118","11.28919","0.00004","2.66550"
"1.68000","0.00121","11.48100","0.00004","2.71079"
"1.70000","0.00121","11.97232","0.00004","2.82680"
"1.72000","0.00123","12.21698","0.00004","2.88456"
"1.74000","0.00126","12.29680","0.00004","2.90341"
"1.76000","0.00126","12.24342","0.00004","2.89081"
"1.78000","0.00129","12.43539","0.00004","2.93613"
"1.80000","0.00130","12.77722","0.00004","3.01684"
"1.82000","0.00131","13.33893","0.00004","3.14947"
"1.84000","0.00134","13.45579","0.00004","3.17706"
"1.86000","0.00134","13.21743","0.00004","3.12078"
"1.88000","0.00137","13.30858","0.00004","3.14230"
"1.90000","0.00139","13.58150","0.00004","3.20674"
"1.92000","0.00139","13.97441","0.00004","3.29951"
"1.94000","0.00142","14.14812","0.00004","3.34053"
"1.96000","0.00143","14.15895","0.00004","3.34309"
"1.98000","0.00145","14.26385","0.00005","3.36785"
"2.00000","0.00147","14.26769","0.00005","3.36876"
"2.02000","0.00147","14.46403","0.00005","3.41512"
"2.04000","0.00150","14.91026","0.00005","3.52048"
"2.06000","0.00153","15.18702","0.00005","3.58582"
"2.08000","0.00153","15.23970","0.00005","3.59826"
"2.10000","0.00155","15.26645","0.00005","3.60458"
"2.12000","0.00158","15.59618","0.00005","3.68243"
"2.14000","0.00158","15.84332","0.00005","3.74078"
"2.16000","0.00161","16.19640","0.00005","3.82415"
"2.18000","0.00161","16.42174","0.00005","3.87736"
"2.20000","0.00163","16.45510","0.00005","3.88523"
"2.22000","0.00166","16.44513","0.00005","3.88288"
"2.24000","0.00166","16.67131","0.00005","3.93628"
"2.26000","0.00169","17.06156","0.00005","4.02842"
"2.28000","0.00171","17.38833","0.00005","4.10558"
