Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.22820","0.00000","-0.05388"
"0.02000","0.00000","-0.15214","0.00000","-0.03592"
"0.04000","0.00000","-0.02475","0.00000","-0.00584"
"0.06000","0.00000","-0.02416","0.00000","-0.00570"
"0.08000","0.00000","-0.09766","0.00000","-0.02306"
"0.10000","0.00000","-0.00089","0.00000","-0.00021"
"0.12000","0.00000","0.05867","0.00000","0.01385"
"0.14000","0.00000","0.03799","0.00000","0.00897"
"0.16000","0.00000","0.00126","0.00000","0.00030"
"0.18000","0.00004","-0.08509","0.00000","-0.02009"
"0.20000","0.00019","0.05441","0.00001","0.01285"
"0.22000","0.00016","0.59630","0.00001","0.14079"
"0.24000","0.00016","0.81599","0.00001","0.19266"
"0.26000","0.00019","1.08645","0.00001","0.25652"
"0.28000","0.00016","1.00997","0.00000","0.23846"
"0.30000","0.00017","1.03012","0.00001","0.24322"
"0.32000","0.00019","1.09068","0.00001","0.25752"
"0.34000","0.00016","1.07468","0.00000","0.25374"
"0.36000","0.00018","1.30203","0.00001","0.30742"
"0.38000","0.00019","1.28404","0.00001","0.30318"
"0.40000","0.00019","1.03840","0.00001","0.24518"
"0.42000","0.00019","0.98517","0.00001","0.23261"
"0.44000","0.00019","1.00415","0.00001","0.23709"
"0.46000","0.00019","0.87213","0.00001","0.20592"
"0.48000","0.00019","1.01458","0.00001","0.23955"
"0.50000","0.00019","0.96065","0.00001","0.22682"
"0.52000","0.00019","1.06640","0.00001","0.25179"
"0.54000","0.00019","1.06414","0.00001","0.25126"
"0.56000","0.00021","1.14854","0.00001","0.27118"
"0.58000","0.00021","1.27936","0.00001","0.30207"
"0.60000","0.00024","1.46113","0.00001","0.34499"
"0.62000","0.00027","1.51807","0.00001","0.35843"
"0.64000","0.00030","1.65678","0.00001","0.39118"
"0.66000","0.00032","1.82803","0.00001","0.43162"
"0.68000","0.00032","1.94739","0.00001","0.45980"
"0.70000","0.00035","2.11179","0.00001","0.49862"
"0.72000","0.00038","2.34667","0.00001","0.55407"
"0.74000","0.00040","2.51437","0.00001","0.59367"
"0.76000","0.00043","2.44724","0.00001","0.57782"
"0.78000","0.00046","2.45917","0.00001","0.58064"
"0.80000","0.00046","2.88001","0.00001","0.68000"
"0.82000","0.00048","2.93774","0.00002","0.69363"
"0.84000","0.00051","3.21513","0.00002","0.75913"
"0.86000","0.00053","3.43928","0.00002","0.81205"
"0.88000","0.00054","3.63664","0.00002","0.85865"
"0.90000","0.00056","3.61715","0.00002","0.85405"
"0.92000","0.00059","3.61879","0.00002","0.85444"
"0.94000","0.00059","3.98604","0.00002","0.94115"
"0.96000","0.00062","4.13641","0.00002","0.97665"
"0.98000","0.00064","4.32795","0.00002","1.02188"
"1.00000","0.00064","4.30445","0.00002","1.01633"
"1.02000","0.00067","4.57191","0.00002","1.07948"
"1.04000","0.00070","4.98756","0.00002","1.17762"
"1.06000","0.00070","5.08418","0.00002","1.20043"
"1.08000","0.00072","5.13579","0.00002","1.21262"
"1.10000","0.00074","5.41700","0.00002","1.27901"
"1.12000","0.00075","5.50969","0.00002","1.30090"
"1.14000","0.00078","5.59580","0.00002","1.32123"
"1.16000","0.00078","5.81874","0.00002","1.37387"
"1.18000","0.00080","6.05311","0.00003","1.42921"
"1.20000","0.00083","6.10130","0.00003","1.44059"
"1.22000","0.00086","6.36100","0.00003","1.50190"
"1.24000","0.00086","6.44342","0.00003","1.52136"
"1.26000","0.00088","6.69878","0.00003","1.58166"
"1.28000","0.00088","6.76450","0.00003","1.59717"
"1.30000","0.00091","7.02075","0.00003","1.65768"
"1.32000","0.00093","6.96214","0.00003","1.64384"
"1.34000","0.00094","7.03644","0.00003","1.66138"
"1.36000","0.00096","7.16919","0.00003","1.69273"
"1.38000","0.00096","7.40861","0.00003","1.74926"
"1.40000","0.00099","7.50864","0.00003","1.77287"
"1.42000","0.00102","7.47249","0.00003","1.76434"
"1.44000","0.00102","7.69306","0.00003","1.81642"
"1.46000","0.00104","7.96248","0.00003","1.88003"
"1.48000","0.00104","8.31895","0.00003","1.96420"
"1.50000","0.00107","8.34090","0.00003","1.96938"
"1.52000","0.00110","8.48790","0.00003","2.00409"
"1.54000","0.00110","8.58088","0.00003","2.02604"
"1.56000","0.00112","8.70048","0.00004","2.05428"
"1.58000","0.00115","8.66382","0.00004","2.04562"
"1.60000","0.00115","8.76349","0.00004","2.06916"
"1.62000","0.00118","9.09496","0.00004","2.14742"
"1.64000","0.00118","9.20096","0.00004","2.17245"
"1.66000","0.00121","9.33879","0.00004","2.20499"
"1.68000","0.00123","9.54984","0.00004","2.25482"
"1.70000","0.00123","9.82020","0.00004","2.31866"
"1.72000","0.00126","9.84603","0.00004","2.32476"
"1.74000","0.00127","10.00170","0.00004","2.36151"
"1.76000","0.00129","10.20009","0.00004","2.40835"
"1.78000","0.00131","10.38039","0.00004","2.45093"
"1.80000","0.00134","10.45608","0.00004","2.46880"
"1.82000","0.00134","10.71607","0.00004","2.53018"
