Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.37019","0.00000","-0.08741"
"0.02000","0.00000","-0.34677","0.00000","-0.08188"
"0.04000","0.00000","-0.08177","0.00000","-0.01931"
"0.06000","0.00000","0.08375","0.00000","0.01977"
"0.08000","0.00000","0.04672","0.00000","0.01103"
"0.10000","0.00000","0.17051","0.00000","0.04026"
"0.12000","0.00000","0.23671","0.00000","0.05589"
"0.14000","0.00000","0.27653","0.00000","0.06529"
"0.16000","0.00000","-0.03022","0.00000","-0.00713"
"0.18000","0.00000","-0.05726","0.00000","-0.01352"
"0.20000","0.00000","-0.05573","0.00000","-0.01316"
"0.22000","0.00003","-0.21489","0.00000","-0.05074"
"0.24000","0.00027","0.17094","0.00001","0.04036"
"0.26000","0.00027","1.05009","0.00001","0.24794"
"0.28000","0.00027","1.66553","0.00001","0.39325"
"0.30000","0.00027","1.64658","0.00001","0.38877"
"0.32000","0.00027","1.58226","0.00001","0.37359"
"0.34000","0.00027","1.88324","0.00001","0.44465"
"0.36000","0.00027","2.06008","0.00001","0.48641"
"0.38000","0.00027","2.02243","0.00001","0.47752"
"0.40000","0.00027","1.93158","0.00001","0.45607"
"0.42000","0.00027","1.96466","0.00001","0.46388"
"0.44000","0.00027","1.93276","0.00001","0.45635"
"0.46000","0.00027","1.73204","0.00001","0.40895"
"0.48000","0.00027","1.61213","0.00001","0.38064"
"0.50000","0.00027","1.71586","0.00001","0.40513"
"0.52000","0.00027","1.88383","0.00001","0.44479"
"0.54000","0.00027","2.03645","0.00001","0.48083"
"0.56000","0.00027","1.99194","0.00001","0.47032"
"0.58000","0.00027","1.91522","0.00001","0.45221"
"0.60000","0.00027","1.81638","0.00001","0.42887"
"0.62000","0.00027","1.78624","0.00001","0.42175"
"0.64000","0.00027","1.76622","0.00001","0.41702"
"0.66000","0.00027","1.59238","0.00001","0.37598"
"0.68000","0.00027","1.46629","0.00001","0.34621"
"0.70000","0.00027","1.72699","0.00001","0.40776"
"0.72000","0.00027","1.81338","0.00001","0.42816"
"0.74000","0.00028","1.92410","0.00001","0.45430"
"0.76000","0.00029","1.88792","0.00001","0.44576"
"0.78000","0.00032","1.82965","0.00001","0.43200"
"0.80000","0.00035","2.03468","0.00001","0.48041"
"0.82000","0.00038","2.02764","0.00001","0.47875"
"0.84000","0.00040","2.54072","0.00001","0.59989"
"0.86000","0.00043","3.04954","0.00001","0.72003"
"0.88000","0.00044","3.19311","0.00001","0.75393"
"0.90000","0.00046","3.00932","0.00001","0.71053"
"0.92000","0.00048","3.19306","0.00002","0.75392"
"0.94000","0.00051","3.44784","0.00002","0.81407"
"0.96000","0.00054","3.59200","0.00002","0.84811"
"0.98000","0.00056","3.71079","0.00002","0.87616"
"1.00000","0.00059","3.96322","0.00002","0.93576"
"1.02000","0.00062","4.18442","0.00002","0.98799"
"1.04000","0.00062","4.39716","0.00002","1.03822"
"1.06000","0.00064","4.65099","0.00002","1.09815"
"1.08000","0.00067","4.56715","0.00002","1.07836"
"1.10000","0.00070","4.82884","0.00002","1.14014"
"1.12000","0.00070","5.04680","0.00002","1.19161"
"1.14000","0.00072","5.13211","0.00002","1.21175"
"1.16000","0.00075","5.41303","0.00002","1.27808"
"1.18000","0.00075","5.51299","0.00002","1.30168"
"1.20000","0.00078","5.65123","0.00002","1.33432"
"1.22000","0.00080","5.70057","0.00003","1.34597"
"1.24000","0.00082","5.94432","0.00003","1.40352"
"1.26000","0.00083","6.12632","0.00003","1.44649"
"1.28000","0.00086","6.30318","0.00003","1.48825"
"1.30000","0.00088","6.31786","0.00003","1.49172"
"1.32000","0.00088","6.65162","0.00003","1.57052"
"1.34000","0.00091","6.83771","0.00003","1.61446"
"1.36000","0.00094","7.00215","0.00003","1.65328"
"1.38000","0.00094","7.16121","0.00003","1.69084"
"1.40000","0.00096","7.16935","0.00003","1.69276"
"1.42000","0.00099","7.37881","0.00003","1.74222"
"1.44000","0.00099","7.56243","0.00003","1.78557"
"1.46000","0.00102","7.66233","0.00003","1.80916"
"1.48000","0.00102","7.80415","0.00003","1.84265"
"1.50000","0.00104","7.98621","0.00003","1.88563"
"1.52000","0.00107","8.14512","0.00003","1.92315"
"1.54000","0.00108","8.28228","0.00003","1.95554"
"1.56000","0.00110","8.50645","0.00003","2.00847"
"1.58000","0.00113","8.58113","0.00004","2.02610"
"1.60000","0.00113","8.62858","0.00004","2.03730"
"1.62000","0.00115","8.70561","0.00004","2.05549"
"1.64000","0.00118","9.00814","0.00004","2.12692"
"1.66000","0.00118","9.22959","0.00004","2.17921"
"1.68000","0.00121","9.44547","0.00004","2.23018"
"1.70000","0.00121","9.64057","0.00004","2.27625"
"1.72000","0.00123","9.75043","0.00004","2.30218"
"1.74000","0.00125","9.72264","0.00004","2.29562"
"1.76000","0.00126","9.99927","0.00004","2.36094"
"1.78000","0.00129","10.26147","0.00004","2.42285"
"1.80000","0.00130","10.21340","0.00004","2.41150"
"1.82000","0.00131","10.38376","0.00004","2.45172"
"1.84000","0.00134","10.48371","0.00004","2.47532"
"1.86000","0.00134","10.71408","0.00004","2.52971"
"1.88000","0.00137","10.75001","0.00004","2.53820"
"1.90000","0.00139","10.92664","0.00004","2.57990"
"1.92000","0.00139","10.84548","0.00004","2.56074"
"1.94000","0.00142","10.95258","0.00004","2.58603"
"1.96000","0.00143","11.38388","0.00004","2.68786"
"1.98000","0.00145","11.71108","0.00005","2.76512"
"2.00000","0.00147","11.93127","0.00005","2.81711"
"2.02000","0.00147","11.89623","0.00005","2.80883"
"2.04000","0.00150","11.89668","0.00005","2.80894"
"2.06000","0.00153","12.12248","0.00005","2.86225"
"2.08000","0.00153","12.25513","0.00005","2.89357"
"2.10000","0.00155","12.42839","0.00005","2.93448"
"2.12000","0.00155","12.72059","0.00005","3.00347"
"2.14000","0.00158","12.67697","0.00005","2.99317"
"2.16000","0.00161","12.76363","0.00005","3.01364"
"2.18000","0.00161","12.93256","0.00005","3.05352"
"2.20000","0.00163","13.42205","0.00005","3.16909"
"2.22000","0.00163","13.48270","0.00005","3.18342"
"2.24000","0.00166","13.67283","0.00005","3.22831"
"2.26000","0.00169","13.86998","0.00005","3.27486"
"2.28000","0.00169","14.03497","0.00005","3.31381"
"2.30000","0.00171","14.14009","0.00005","3.33863"
"2.32000","0.00174","14.18339","0.00005","3.34886"
"2.34000","0.00174","13.97507","0.00005","3.29967"
"2.36000","0.00177","14.26625","0.00006","3.36842"
"2.38000","0.00179","14.53166","0.00006","3.43109"
"2.40000","0.00179","14.69948","0.00006","3.47071"
"2.42000","0.00182","14.92128","0.00006","3.52308"
"2.44000","0.00182","15.29177","0.00006","3.61056"
"2.46000","0.00185","15.40704","0.00006","3.63777"
"2.48000","0.00186","15.46645","0.00006","3.65180"
"2.50000","0.00187","15.80987","0.00006","3.73289"
"2.52000","0.00190","16.13809","0.00006","3.81038"
"2.54000","0.00190","16.20725","0.00006","3.82671"
"2.56000","0.00193","16.26240","0.00006","3.83973"
"2.58000","0.00195","16.43215","0.00006","3.87981"
"2.60000","0.00196","16.54291","0.00006","3.90596"
"2.62000","0.00198","16.71422","0.00006","3.94641"
"2.64000","0.00198","16.94346","0.00006","4.00054"
"2.66000","0.00201","17.27989","0.00006","4.07997"
"2.68000","0.00204","17.40394","0.00006","4.10926"
"2.70000","0.00204","17.38439","0.00006","4.10465"
"2.72000","0.00206","17.47237","0.00006","4.12542"
"2.74000","0.00207","17.63083","0.00006","4.16283"
"2.76000","0.00209","17.94593","0.00007","4.23723"
"2.78000","0.00212","18.22569","0.00007","4.30329"
"2.80000","0.00212","18.36441","0.00007","4.33604"
"2.82000","0.00214","18.50492","0.00007","4.36922"
"2.84000","0.00216","18.83058","0.00007","4.44611"
"2.86000","0.00217","18.96368","0.00007","4.47754"
"2.88000","0.00220","18.90214","0.00007","4.46301"
"2.90000","0.00220","18.99940","0.00007","4.48597"
"2.92000","0.00222","19.26627","0.00007","4.54898"
"2.94000","0.00225","19.40549","0.00007","4.58185"
"2.96000","0.00225","19.70045","0.00007","4.65149"
"2.98000","0.00228","19.85596","0.00007","4.68821"
"3.00000","0.00230","20.03765","0.00007","4.73111"
"3.02000","0.00230","20.15984","0.00007","4.75996"
"3.04000","0.00233","20.27878","0.00007","4.78805"
"3.06000","0.00233","20.50527","0.00007","4.84152"
"3.08000","0.00236","20.54836","0.00007","4.85170"
"3.10000","0.00238","20.77103","0.00007","4.90427"
"3.12000","0.00238","20.93741","0.00007","4.94355"
"3.14000","0.00241","20.98136","0.00008","4.95393"
"3.16000","0.00241","21.24228","0.00008","5.01554"
"3.18000","0.00244","21.62828","0.00008","5.10668"
"3.20000","0.00247","21.88377","0.00008","5.16700"
"3.22000","0.00246","21.73651","0.00008","5.13223"
"3.24000","0.00249","21.79274","0.00008","5.14551"
"3.26000","0.00249","22.03179","0.00008","5.20195"
"3.28000","0.00252","22.45237","0.00008","5.30125"
"3.30000","0.00255","22.61440","0.00008","5.33951"
"3.32000","0.00254","22.78779","0.00008","5.38045"
"3.34000","0.00257","22.86169","0.00008","5.39790"
"3.36000","0.00260","23.04407","0.00008","5.44096"
"3.38000","0.00260","23.22790","0.00008","5.48436"
"3.40000","0.00262","23.37882","0.00008","5.52000"
"3.42000","0.00263","23.55073","0.00008","5.56059"
"3.44000","0.00265","23.87822","0.00008","5.63791"
"3.46000","0.00268","24.12554","0.00008","5.69631"
"3.48000","0.00271","23.96866","0.00008","5.65927"
"3.50000","0.00271","24.28814","0.00008","5.73470"
"3.52000","0.00273","24.42444","0.00009","5.76688"
"3.54000","0.00276","24.78724","0.00009","5.85254"
"3.56000","0.00276","25.18390","0.00009","5.94620"
"3.58000","0.00279","25.44048","0.00009","6.00678"
"3.60000","0.00279","25.45935","0.00009","6.01123"
"3.62000","0.00281","25.58629","0.00009","6.04121"
"3.64000","0.00284","25.84378","0.00009","6.10200"
"3.66000","0.00284","25.96812","0.00009","6.13136"
"3.68000","0.00287","26.15669","0.00009","6.17588"
"3.70000","0.00287","26.26290","0.00009","6.20096"
"3.72000","0.00289","26.36396","0.00009","6.22482"
"3.74000","0.00292","26.72762","0.00009","6.31069"
"3.76000","0.00292","27.05820","0.00009","6.38874"
"3.78000","0.00295","27.01898","0.00009","6.37948"
"3.80000","0.00297","27.00394","0.00009","6.37593"
"3.82000","0.00297","27.14400","0.00009","6.40900"
"3.84000","0.00300","27.22002","0.00009","6.42695"
"3.86000","0.00303","27.56112","0.00009","6.50749"
"3.88000","0.00303","27.95868","0.00009","6.60136"
"3.90000","0.00305","28.11764","0.00010","6.63889"
"3.92000","0.00308","28.25649","0.00010","6.67167"
"3.94000","0.00308","28.56877","0.00010","6.74540"
"3.96000","0.00311","28.80699","0.00010","6.80165"
"3.98000","0.00314","28.96150","0.00010","6.83813"
"4.00000","0.00313","29.26576","0.00010","6.90997"
"4.02000","0.00316","29.16664","0.00010","6.88657"
"4.04000","0.00316","29.32250","0.00010","6.92337"
"4.06000","0.00319","29.66496","0.00010","7.00423"
"4.08000","0.00321","29.57274","0.00010","6.98245"
"4.10000","0.00321","29.79209","0.00010","7.03424"
"4.12000","0.00324","30.06134","0.00010","7.09782"
"4.14000","0.00326","30.33234","0.00010","7.16180"
"4.16000","0.00327","30.53973","0.00010","7.21077"
"4.18000","0.00329","30.68632","0.00010","7.24538"
"4.20000","0.00332","30.82033","0.00010","7.27702"
"4.22000","0.00332","31.20481","0.00010","7.36780"
"4.24000","0.00335","31.47694","0.00010","7.43206"
"4.26000","0.00336","31.35526","0.00010","7.40332"
"4.28000","0.00338","31.31074","0.00011","7.39281"
"4.30000","0.00340","31.59760","0.00011","7.46054"
"4.32000","0.00341","32.01294","0.00011","7.55861"
"4.34000","0.00343","32.22887","0.00011","7.60959"
"4.36000","0.00346","32.46123","0.00011","7.66446"
"4.38000","0.00346","32.58609","0.00011","7.69394"
"4.40000","0.00348","32.75489","0.00011","7.73379"
"4.42000","0.00351","33.15633","0.00011","7.82858"
"4.44000","0.00351","33.28901","0.00011","7.85990"
"4.46000","0.00354","33.68235","0.00011","7.95278"
"4.48000","0.00356","33.84722","0.00011","7.99170"
"4.50000","0.00359","33.91083","0.00011","8.00672"
"4.52000","0.00359","34.04884","0.00011","8.03931"
"4.54000","0.00362","34.16455","0.00011","8.06663"
"4.56000","0.00364","34.25071","0.00011","8.08697"
"4.58000","0.00365","34.63179","0.00011","8.17695"
"4.60000","0.00367","34.82388","0.00011","8.22231"
"4.62000","0.00370","34.98556","0.00012","8.26048"
"4.64000","0.00372","35.18489","0.00012","8.30754"
"4.66000","0.00374","35.21363","0.00012","8.31433"
"4.68000","0.00375","35.50610","0.00012","8.38338"
"4.70000","0.00378","35.75615","0.00012","8.44242"
"4.72000","0.00380","36.05795","0.00012","8.51368"
"4.74000","0.00380","36.28380","0.00012","8.56701"
"4.76000","0.00383","36.38166","0.00012","8.59011"
"4.78000","0.00385","36.52031","0.00012","8.62285"
