Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.21329"
"0.05000","0.00000","0.01643"
"0.10000","-0.00002","-0.17993"
"0.15000","-0.00003","0.03718"
"0.20000","-0.00003","0.19246"
"0.25000","0.00000","0.06386"
"0.30000","0.00000","0.16583"
"0.35000","0.00001","-0.27152"
"0.40000","0.00003","0.10668"
"0.45000","0.00006","-0.06699"
"0.50000","0.00016","-0.01755"
"0.55000","0.00024","-0.11671"
"0.60000","0.00032","-0.03028"
"0.65000","0.00040","0.05174"
"0.70000","0.00046","-0.10162"
"0.75000","0.00051","-0.23898"
"0.80000","0.00056","-0.17629"
"0.85000","0.00059","0.09286"
"0.90000","0.00064","0.07931"
"0.95000","0.00067","0.07413"
"1.00000","0.00072","0.13594"
"1.05000","0.00078","-0.20185"
"1.10000","0.00080","-0.05164"
"1.15000","0.00085","-0.14779"
"1.20000","0.00088","-0.31217"
"1.25000","0.00094","-0.15488"
"1.30000","0.00096","0.05251"
"1.35000","0.00102","0.01274"
"1.40000","0.00107","0.01026"
"1.45000","0.00110","0.05570"
"1.50000","0.00115","-0.02797"
"1.55000","0.00118","-0.25368"
"1.60000","0.00123","0.01592"
"1.65000","0.00126","0.13563"
"1.70000","0.00131","-0.10520"
"1.75000","0.00137","-0.08247"
"1.80000","0.00139","-0.20986"
"1.85000","0.00145","-0.17766"
"1.90000","0.00148","-0.10635"
"1.95000","0.00153","0.22054"
"2.00000","0.00158","-0.15658"
"2.05000","0.00161","0.01499"
"2.10000","0.00166","-0.20604"
"2.15000","0.00172","0.13574"
"2.20000","0.00174","-0.22280"
"2.25000","0.00179","0.15010"
"2.30000","0.00185","-0.19181"
"2.35000","0.00188","-0.16973"
"2.40000","0.00193","0.04839"
"2.45000","0.00198","0.06340"
"2.50000","0.00204","0.12950"
"2.55000","0.00209","0.04624"
"2.60000","0.00212","0.17942"
"2.65000","0.00217","-0.16771"
"2.70000","0.00220","-0.20751"
"2.75000","0.00225","0.29865"
"2.80000","0.00229","0.07077"
"2.85000","0.00233","-0.01435"
"2.90000","0.00238","-0.31306"
"2.95000","0.00241","-0.00463"
"3.00000","0.00246","0.02125"
"3.05000","0.00249","-0.23460"
"3.10000","0.00254","-0.36432"
"3.15000","0.00257","-0.05187"
"3.20000","0.00262","0.12948"
"3.25000","0.00265","-0.02732"
"3.30000","0.00271","0.16481"
"3.35000","0.00273","-0.16429"
"3.40000","0.00279","-0.13663"
"3.45000","0.00281","-0.03898"
"3.50000","0.00287","0.00575"
"3.55000","0.00292","0.03074"
"3.60000","0.00295","0.01500"
"3.65000","0.00297","0.15711"
"3.70000","0.00303","-0.02791"
"3.75000","0.00305","-0.16596"
"3.80000","0.00308","-0.20296"
"3.85000","0.00313","-0.06741"
"3.90000","0.00319","0.02466"
"3.95000","0.00321","0.00403"
"4.00000","0.00327","-0.25418"
"4.05000","0.00329","0.33156"
"4.10000","0.00332","-0.11806"
"4.15000","0.00338","-0.17753"
"4.20000","0.00340","-0.32143"
"4.25000","0.00346","-0.14053"
"4.30000","0.00348","-0.15619"
"4.35000","0.00354","-0.05947"
"4.40000","0.00356","-0.29467"
"4.45000","0.00362","-0.03083"
"4.50000","0.00364","0.12305"
"4.55000","0.00370","0.32697"
"4.60000","0.00373","0.09517"
"4.65000","0.00378","-0.08983"
"4.70000","0.00383","-0.40977"
"4.75000","0.00386","-0.27974"
"4.80000","0.00391","0.04819"
"4.85000","0.00394","-0.02263"
"4.90000","0.00399","-0.05607"
"4.95000","0.00403","-0.13837"
"5.00000","0.00407","-0.11384"
"5.05000","0.00413","0.11874"
"5.10000","0.00415","0.10901"
"5.15000","0.00421","-0.01414"
"5.20000","0.00424","0.05777"
"5.25000","0.00429","0.09395"
"5.30000","0.00434","-0.08390"
"5.35000","0.00437","0.08181"
"5.40000","0.00442","-0.06636"
"5.45000","0.00447","-0.03405"
"5.50000","0.00453","-0.07789"
"5.55000","0.00456","-0.08948"
"5.60000","0.00461","0.02149"
"5.65000","0.00466","0.08680"
"5.70000","0.00471","-0.03126"
"5.75000","0.00474","0.07704"
"5.80000","0.00480","-0.21209"
"5.85000","0.00482","0.14614"
"5.90000","0.00488","0.16972"
"5.95000","0.00490","-0.12334"
"6.00000","0.00496","-0.11704"
"6.05000","0.00498","-0.01290"
"6.10000","0.00504","0.08710"
"6.15000","0.00509","0.03494"
"6.20000","0.00512","0.04293"
"6.25000","0.00515","-0.03574"
"6.30000","0.00520","0.25516"
"6.35000","0.00525","-0.10642"
"6.40000","0.00528","-0.07777"
"6.45000","0.00532","-0.11024"
"6.50000","0.00536","0.13825"
"6.55000","0.00541","-0.11253"
"6.60000","0.00544","-0.05742"
"6.65000","0.00546","0.33326"
"6.70000","0.00552","-0.15533"
"6.75000","0.00554","-0.18094"
"6.80000","0.00560","-0.01916"
"6.85000","0.00563","-0.14498"
"6.90000","0.00565","-0.03094"
"6.95000","0.00568","-0.26469"
"7.00000","0.00573","-0.03792"
"7.05000","0.00578","0.00680"
"7.10000","0.00581","-0.23971"
"7.15000","0.00587","-0.01871"
"7.20000","0.00590","0.05188"
"7.25000","0.00595","-0.11271"
"7.30000","0.00597","0.09525"
"7.35000","0.00603","0.03896"
"7.40000","0.00605","0.01741"
"7.45000","0.00611","0.27435"
"7.50000","0.00613","0.06535"
"7.55000","0.00619","-0.16974"
"7.60000","0.00624","0.17233"
"7.65000","0.00627","0.04560"
"7.70000","0.00632","0.04658"
"7.75000","0.00635","-0.01615"
"7.80000","0.00640","0.14578"
"7.85000","0.00646","-0.30547"
"7.90000","0.00648","-0.00094"
"7.95000","0.00654","0.09044"
"8.00000","0.00656","-0.17641"
"8.05000","0.00662","-0.39961"
"8.10000","0.00666","0.01737"
"8.15000","0.00670","-0.03968"
"8.20000","0.00675","0.15875"
"8.25000","0.00678","-0.07538"
"8.30000","0.00683","-0.15531"
"8.35000","0.00688","-0.19911"
"8.40000","0.00691","0.02805"
"8.45000","0.00697","-0.16004"
"8.50000","0.00699","-0.23134"
"8.55000","0.00704","0.05054"
"8.60000","0.00710","0.03609"
"8.65000","0.00715","0.07955"
"8.70000","0.00718","-0.08615"
"8.75000","0.00723","-0.38506"
"8.80000","0.00729","-0.05588"
"8.85000","0.00733","0.15230"
"8.90000","0.00737","0.13199"
"8.95000","0.00742","-0.17246"
"9.00000","0.00745","0.16319"
"9.05000","0.00747","0.12088"
"9.10000","0.00753","0.10921"
"9.15000","0.00758","0.05821"
"9.20000","0.00761","-0.06331"
"9.25000","0.00766","0.07326"
"9.30000","0.00769","0.15746"
"9.35000","0.00774","0.03181"
"9.40000","0.00777","-0.16149"
"9.45000","0.00779","-0.21858"
"9.50000","0.00785","-0.33823"
"9.55000","0.00790","-0.05712"
"9.60000","0.00793","0.06804"
"9.65000","0.00797","-0.19135"
"9.70000","0.00801","-0.18699"
"9.75000","0.00804","-0.27324"
"9.80000","0.00809","0.15066"
"9.85000","0.00814","0.18450"
"9.90000","0.00820","-0.07814"
"9.95000","0.00825","-0.21276"
"10.00000","0.00828","0.06016"
"10.05000","0.00832","0.02674"
"10.10000","0.00836","-0.02676"
"10.15000","0.00841","0.05063"
"10.20000","0.00844","-0.15740"
"10.25000","0.00849","-0.01077"
"10.30000","0.00852","-0.02398"
"10.35000","0.00857","0.12822"
"10.40000","0.00860","0.09428"
"10.45000","0.00865","0.05654"
"10.50000","0.00871","0.10193"
"10.55000","0.00873","0.17879"
"10.60000","0.00879","0.26726"
"10.65000","0.00881","0.18245"
"10.70000","0.00887","0.02244"
"10.75000","0.00891","0.29174"
"10.80000","0.00895","0.51867"
"10.85000","0.00900","0.24926"
"10.90000","0.00903","0.36229"
"10.95000","0.00908","0.22443"
"11.00000","0.00911","0.50801"
"11.05000","0.00916","0.81619"
"11.10000","0.00922","0.81368"
"11.15000","0.00924","0.60312"
"11.20000","0.00929","0.73567"
"11.25000","0.00932","1.01643"
"11.30000","0.00937","1.12873"
"11.35000","0.00940","1.10581"
"11.40000","0.00946","1.40582"
"11.45000","0.00948","1.56914"
"11.50000","0.00954","1.82946"
"11.55000","0.00959","1.53165"
"11.60000","0.00962","1.90261"
"11.65000","0.00967","1.94384"
"11.70000","0.00970","2.22985"
"11.75000","0.00975","2.45354"
"11.80000","0.00978","2.64449"
"11.85000","0.00983","2.45723"
"11.90000","0.00987","2.91944"
"11.95000","0.00991","2.96797"
"12.00000","0.00996","3.58135"
"12.05000","0.00999","3.51569"
"12.10000","0.01004","3.56366"
"12.15000","0.01007","4.08676"
"12.20000","0.01013","4.18878"
"12.25000","0.01015","4.29146"
"12.30000","0.01021","4.61169"
