Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","-0.00117"
"0.02000","0.00000","-0.07160"
"0.04000","0.00000","-0.10884"
"0.06000","0.00000","-0.21417"
"0.08000","0.00000","-0.12487"
"0.10000","0.00000","0.07198"
"0.12000","0.00000","0.00270"
"0.14000","0.00002","-0.15264"
"0.16000","-0.00003","-0.28165"
"0.18000","-0.00003","-0.52106"
"0.20000","-0.00003","-0.27157"
"0.22000","-0.00003","-0.32807"
"0.24000","-0.00003","-0.75341"
"0.26000","-0.00003","-0.65686"
"0.28000","-0.00003","-0.38966"
"0.30000","-0.00003","-0.23382"
"0.32000","0.00000","-0.17182"
"0.34000","0.00000","0.06216"
"0.36000","0.00000","-0.11079"
"0.38000","0.00000","-0.21620"
"0.40000","0.00001","-0.38767"
"0.42000","0.00003","-0.34348"
"0.44000","0.00003","-0.08727"
"0.46000","0.00005","-0.09617"
"0.48000","0.00008","0.00102"
"0.50000","0.00013","0.66320"
"0.52000","0.00019","1.25185"
"0.54000","0.00021","1.52410"
"0.56000","0.00024","2.11642"
"0.58000","0.00030","2.73901"
"0.60000","0.00032","3.08259"
"0.62000","0.00035","3.48886"
"0.64000","0.00038","4.22949"
"0.66000","0.00040","4.75424"
"0.68000","0.00043","5.11782"
"0.70000","0.00046","5.38348"
"0.72000","0.00048","5.54884"
"0.74000","0.00049","5.77349"
"0.76000","0.00051","5.76906"
"0.78000","0.00051","6.01487"
"0.80000","0.00054","6.51205"
"0.82000","0.00056","6.87957"
"0.84000","0.00056","7.02371"
"0.86000","0.00059","7.10406"
"0.88000","0.00062","7.46241"
"0.90000","0.00062","7.53153"
"0.92000","0.00064","7.72952"
"0.94000","0.00064","8.01701"
"0.96000","0.00067","8.30363"
"0.98000","0.00067","8.52047"
"1.00000","0.00070","8.71487"
"1.02000","0.00072","8.99870"
"1.04000","0.00074","9.23636"
"1.06000","0.00075","9.46101"
"1.08000","0.00078","9.60994"
"1.10000","0.00078","9.63837"
"1.12000","0.00080","10.02007"
"1.14000","0.00083","10.18246"
"1.16000","0.00083","10.14375"
"1.18000","0.00086","10.45929"
"1.20000","0.00088","10.77868"
"1.22000","0.00088","11.25319"
"1.24000","0.00091","11.55270"
"1.26000","0.00091","11.71650"
"1.28000","0.00094","11.96983"
"1.30000","0.00096","11.99591"
"1.32000","0.00096","12.17796"
"1.34000","0.00099","12.55069"
"1.36000","0.00102","12.91304"
"1.38000","0.00102","13.11374"
"1.40000","0.00104","13.51023"
"1.42000","0.00104","13.60429"
"1.44000","0.00107","13.74715"
"1.46000","0.00110","14.10137"
"1.48000","0.00110","14.52645"
"1.50000","0.00113","14.71059"
"1.52000","0.00115","14.58456"
"1.54000","0.00115","14.79794"
"1.56000","0.00118","15.09212"
"1.58000","0.00121","15.33890"
"1.60000","0.00121","15.44900"
"1.62000","0.00123","15.72527"
"1.64000","0.00126","16.12376"
"1.66000","0.00126","16.49459"
"1.68000","0.00129","16.65587"
"1.70000","0.00129","16.89743"
"1.72000","0.00131","17.12091"
"1.74000","0.00131","17.15991"
"1.76000","0.00134","17.33618"
"1.78000","0.00137","17.77830"
