Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.03268"
"0.02000","0.00000","0.24856"
"0.04000","0.00000","-0.09006"
"0.06000","0.00000","-0.10147"
"0.08000","0.00000","-0.03950"
"0.10000","0.00000","-0.11411"
"0.12000","0.00000","-0.29513"
"0.14000","0.00000","-0.22441"
"0.16000","0.00000","-0.16654"
"0.18000","0.00000","-0.11800"
"0.20000","0.00011","-0.03673"
"0.22000","0.00011","-0.04115"
"0.24000","0.00011","0.24566"
"0.26000","0.00011","0.21563"
"0.28000","0.00011","0.00248"
"0.30000","0.00011","-0.00696"
"0.32000","0.00011","-0.17565"
"0.34000","0.00011","-0.04465"
"0.36000","0.00011","0.15496"
"0.38000","0.00011","0.01894"
"0.40000","0.00011","-0.01498"
"0.42000","0.00011","0.32002"
"0.44000","0.00013","0.36234"
"0.46000","0.00013","0.24588"
"0.48000","0.00013","0.24124"
"0.50000","0.00013","0.13388"
"0.52000","0.00016","0.07153"
"0.54000","0.00016","0.05223"
"0.56000","0.00019","0.35173"
"0.58000","0.00020","0.34934"
"0.60000","0.00021","0.24241"
"0.62000","0.00024","0.14996"
"0.64000","0.00024","0.16587"
"0.66000","0.00024","0.39433"
"0.68000","0.00027","0.44340"
"0.70000","0.00027","0.71865"
"0.72000","0.00029","0.81043"
"0.74000","0.00032","0.71278"
"0.76000","0.00035","0.43207"
"0.78000","0.00038","0.60406"
"0.80000","0.00040","0.99249"
"0.82000","0.00042","1.39420"
"0.84000","0.00043","1.44906"
"0.86000","0.00046","1.41214"
"0.88000","0.00048","1.47466"
"0.90000","0.00051","1.61650"
"0.92000","0.00054","2.07094"
"0.94000","0.00054","2.13478"
"0.96000","0.00056","1.94787"
"0.98000","0.00059","1.93811"
"1.00000","0.00059","2.25877"
"1.02000","0.00062","2.45110"
"1.04000","0.00064","2.46089"
"1.06000","0.00065","2.61460"
"1.08000","0.00067","2.62799"
"1.10000","0.00070","2.64310"
"1.12000","0.00071","2.61753"
"1.14000","0.00072","2.93141"
"1.16000","0.00075","3.12583"
"1.18000","0.00077","2.93983"
"1.20000","0.00078","3.00458"
"1.22000","0.00080","3.26651"
"1.24000","0.00083","3.45575"
"1.26000","0.00083","3.65017"
"1.28000","0.00086","3.41518"
"1.30000","0.00086","3.49874"
"1.32000","0.00088","3.60308"
"1.34000","0.00091","3.63898"
"1.36000","0.00091","3.71321"
"1.38000","0.00094","3.97656"
"1.40000","0.00096","4.31638"
"1.42000","0.00096","4.24072"
"1.44000","0.00099","4.09901"
"1.46000","0.00099","4.10575"
"1.48000","0.00102","4.30619"
"1.50000","0.00104","4.53951"
"1.52000","0.00107","4.73280"
"1.54000","0.00107","4.57677"
"1.56000","0.00110","4.60124"
"1.58000","0.00113","4.90547"
"1.60000","0.00113","5.08967"
"1.62000","0.00115","5.18142"
"1.64000","0.00118","5.56835"
"1.66000","0.00118","5.62521"
"1.68000","0.00121","5.57674"
"1.70000","0.00123","5.60469"
"1.72000","0.00123","5.56640"
"1.74000","0.00126","6.15321"
"1.76000","0.00129","6.54415"
"1.78000","0.00129","5.66646"
"1.80000","0.00131","5.47141"
"1.82000","0.00134","5.80549"
"1.84000","0.00134","6.14063"
"1.86000","0.00137","6.31899"
"1.88000","0.00139","6.17661"
"1.90000","0.00139","6.06003"
"1.92000","0.00142","6.32009"
"1.94000","0.00142","6.28491"
"1.96000","0.00145","6.51179"
"1.98000","0.00147","7.22533"
"2.00000","0.00147","7.52970"
"2.02000","0.00150","6.75649"
"2.04000","0.00153","5.80311"
"2.06000","0.00153","6.11400"
"2.08000","0.00155","7.11797"
"2.10000","0.00158","7.98508"
"2.12000","0.00158","7.77608"
"2.14000","0.00161","7.71345"
"2.16000","0.00163","7.81457"
"2.18000","0.00163","8.14748"
"2.20000","0.00166","8.18671"
"2.22000","0.00169","8.29368"
"2.24000","0.00169","8.15140"
"2.26000","0.00171","7.99123"
"2.28000","0.00174","7.99000"
"2.30000","0.00174","8.23319"
"2.32000","0.00177","8.76667"
"2.34000","0.00179","9.05146"
"2.36000","0.00179","8.83816"
"2.38000","0.00182","8.74232"
"2.40000","0.00185","9.30718"
"2.42000","0.00185","9.81854"
"2.44000","0.00187","10.02403"
"2.46000","0.00190","10.11650"
"2.48000","0.00190","9.83212"
"2.50000","0.00193","9.59216"
"2.52000","0.00196","9.53945"
"2.54000","0.00196","9.92176"
"2.56000","0.00198","10.42995"
"2.58000","0.00201","10.45387"
"2.60000","0.00201","10.59912"
"2.62000","0.00204","10.86501"
"2.64000","0.00206","11.22348"
"2.66000","0.00206","11.72011"
"2.68000","0.00209","11.90260"
"2.70000","0.00212","11.64526"
"2.72000","0.00214","11.57477"
"2.74000","0.00214","11.59404"
"2.76000","0.00217","11.79277"
"2.78000","0.00220","12.02084"
"2.80000","0.00222","12.16567"
"2.82000","0.00222","12.32883"
"2.84000","0.00225","12.78554"
"2.86000","0.00225","12.91652"
"2.88000","0.00228","13.04480"
"2.90000","0.00230","13.22934"
"2.92000","0.00230","13.49403"
"2.94000","0.00233","13.36807"
"2.96000","0.00233","13.03823"
"2.98000","0.00236","13.13622"
"3.00000","0.00238","13.56945"
"3.02000","0.00238","13.72969"
"3.04000","0.00241","13.60277"
"3.06000","0.00244","13.88021"
"3.08000","0.00244","14.48117"
"3.10000","0.00246","14.88616"
"3.12000","0.00246","15.08492"
"3.14000","0.00249","14.93197"
"3.16000","0.00252","15.13128"
"3.18000","0.00252","15.03945"
"3.20000","0.00254","15.08021"
"3.22000","0.00254","15.21946"
"3.24000","0.00257","15.20264"
"3.26000","0.00260","15.16325"
"3.28000","0.00260","15.36074"
"3.30000","0.00263","15.62286"
"3.32000","0.00262","16.02851"
"3.34000","0.00265","16.23244"
"3.36000","0.00267","16.19574"
"3.38000","0.00268","16.32850"
"3.40000","0.00271","16.38190"
"3.42000","0.00271","16.50660"
"3.44000","0.00273","16.62969"
"3.46000","0.00274","16.70148"
"3.48000","0.00276","16.57607"
"3.50000","0.00279","16.72543"
"3.52000","0.00279","16.92653"
"3.54000","0.00281","17.32171"
"3.56000","0.00281","17.62114"
"3.58000","0.00284","17.55072"
"3.60000","0.00284","17.41615"
"3.62000","0.00287","17.53638"
"3.64000","0.00287","17.72398"
"3.66000","0.00289","17.87267"
"3.68000","0.00289","17.97657"
"3.70000","0.00292","18.43296"
"3.72000","0.00292","18.30982"
"3.74000","0.00295","18.30045"
