Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.21876","0.51456"
"0.05000","0.21876","0.21267"
"0.10000","0.21876","0.24908"
"0.15000","0.21860","0.27993"
"0.20000","0.21860","0.09713"
"0.25000","0.21861","0.12991"
"0.30000","0.21865","-0.06511"
"0.35000","0.21867","-0.08979"
"0.40000","0.21871","0.17292"
"0.45000","0.21873","0.14813"
"0.50000","0.21882","0.44012"
"0.55000","0.21895","0.52964"
"0.60000","0.21905","0.89722"
"0.65000","0.21915","1.11458"
"0.70000","0.21922","0.89822"
"0.75000","0.21929","1.68409"
"0.80000","0.21932","1.65059"
"0.85000","0.21937","1.86306"
"0.90000","0.21943","1.90336"
"0.95000","0.21947","2.17086"
"1.00000","0.21951","2.47445"
"1.05000","0.21956","2.38663"
"1.10000","0.21959","2.69276"
"1.15000","0.21964","2.95346"
"1.20000","0.21967","3.23027"
"1.25000","0.21972","3.06229"
"1.30000","0.21978","3.36094"
"1.35000","0.21980","3.75800"
"1.40000","0.21986","3.53999"
"1.45000","0.21988","4.03856"
"1.50000","0.21994","4.13965"
"1.55000","0.21996","4.34891"
"1.60000","0.22002","4.54255"
"1.65000","0.22004","4.78967"
"1.70000","0.22010","5.29533"
"1.75000","0.22013","5.40361"
"1.80000","0.22018","5.75801"
"1.85000","0.22023","6.04218"
"1.90000","0.22026","6.25664"
"1.95000","0.22031","6.40537"
"2.00000","0.22034","6.68480"
"2.05000","0.22037","6.81877"
"2.10000","0.22042","7.05982"
"2.15000","0.22045","7.48690"
"2.20000","0.22050","7.73887"
"2.25000","0.22053","7.90318"
"2.30000","0.22058","8.39294"
"2.35000","0.22063","8.67492"
"2.40000","0.22066","9.02035"
"2.45000","0.22071","9.17206"
"2.50000","0.22074","9.52460"
"2.55000","0.22079","10.05681"
"2.60000","0.22083","10.13540"
"2.65000","0.22088","10.66715"
"2.70000","0.22093","11.01972"
"2.75000","0.22096","11.36629"
"2.80000","0.22101","12.05408"
"2.85000","0.22106","12.26806"
"2.90000","0.22109","12.98805"
"2.95000","0.22114","12.88495"
"3.00000","0.22117","13.37346"
"3.05000","0.22122","13.55499"
"3.10000","0.22125","14.05686"
"3.15000","0.22130","14.44151"
"3.20000","0.22135","14.93598"
"3.25000","0.22138","15.25141"
"3.30000","0.22144","15.83150"
"3.35000","0.22146","15.93033"
"3.40000","0.22152","16.34078"
"3.45000","0.22154","16.81106"
"3.50000","0.22160","17.08561"
"3.55000","0.22163","17.45140"
"3.60000","0.22168","17.90276"
"3.65000","0.22173","18.24312"
"3.70000","0.22176","18.64791"
"3.75000","0.22181","19.31053"
"3.80000","0.22184","19.66382"
"3.85000","0.22189","19.91695"
"3.90000","0.22192","20.28328"
"3.95000","0.22197","20.79385"
"4.00000","0.22200","21.16009"
"4.05000","0.22205","21.56408"
"4.10000","0.22208","21.97250"
"4.15000","0.22213","22.76560"
"4.20000","0.22216","22.71221"
"4.25000","0.22221","23.25818"
"4.30000","0.22224","23.52840"
"4.35000","0.22229","24.09491"
"4.40000","0.22232","24.50515"
"4.45000","0.22235","24.86232"
"4.50000","0.22240","25.36620"
"4.55000","0.22243","25.71218"
"4.60000","0.22246","26.06044"
"4.65000","0.22251","26.40517"
"4.70000","0.22254","26.89889"
"4.75000","0.22259","27.15365"
"4.80000","0.22262","27.69167"
"4.85000","0.22267","28.02994"
"4.90000","0.22270","28.53080"
"4.95000","0.22275","28.91584"
"5.00000","0.22280","29.40272"
"5.05000","0.22283","29.71584"
"5.10000","0.22289","30.39106"
"5.15000","0.22291","30.97392"
"5.20000","0.22296","31.19476"
"5.25000","0.22301","31.79032"
"5.30000","0.22304","32.40079"
"5.35000","0.22309","32.42764"
"5.40000","0.22313","33.02206"
"5.45000","0.22318","33.56385"
"5.50000","0.22321","34.36645"
"5.55000","0.22326","34.69038"
"5.60000","0.22329","35.03489"
"5.65000","0.22334","35.85154"
"5.70000","0.22337","36.01893"
"5.75000","0.22342","36.65962"
"5.80000","0.22347","37.11898"
"5.85000","0.22350","37.63078"
"5.90000","0.22355","38.32327"
"5.95000","0.22358","38.66090"
"6.00000","0.22363","38.98219"
"6.05000","0.22369","39.59900"
"6.10000","0.22371","40.01078"
"6.15000","0.22377","40.71508"
"6.20000","0.22379","41.36773"
"6.25000","0.22385","41.57515"
"6.30000","0.22390","42.15257"
"6.35000","0.22393","42.90250"
"6.40000","0.22398","43.33961"
"6.45000","0.22403","43.92079"
"6.50000","0.22406","44.57298"
"6.55000","0.22412","45.18882"
"6.60000","0.22417","45.26245"
"6.65000","0.22420","46.36157"
"6.70000","0.22425","47.03911"
"6.75000","0.22430","47.21213"
"6.80000","0.22436","47.95512"
"6.85000","0.22438","48.64958"
"6.90000","0.22444","49.53453"
"6.95000","0.22446","49.79948"
"7.00000","0.22452","50.37556"
"7.05000","0.22454","50.87977"
"7.10000","0.22460","51.31482"
"7.15000","0.22465","51.81630"
"7.20000","0.22468","52.34431"
"7.25000","0.22473","53.09880"
"7.30000","0.22476","53.80313"
"7.35000","0.22481","53.82422"
"7.40000","0.22484","54.59218"
"7.45000","0.22489","55.32218"
"7.50000","0.22492","55.83495"
"7.55000","0.22497","56.35168"
"7.60000","0.22500","56.89152"
"7.65000","0.22505","57.71697"
"7.70000","0.22508","58.04369"
"7.75000","0.22513","58.45166"
"7.80000","0.22519","58.86660"
"7.85000","0.22521","59.92625"
"7.90000","0.22527","60.18284"
"7.95000","0.22529","60.71406"
"8.00000","0.22535","61.42604"
"8.05000","0.22537","61.94151"
"8.10000","0.22543","62.73210"
"8.15000","0.22546","62.94815"
"8.20000","0.22551","63.29481"
"8.25000","0.22554","64.07671"
"8.30000","0.22556","64.44348"
"8.35000","0.22562","64.80211"
"8.40000","0.22564","65.49722"
"8.45000","0.22569","66.22313"
"8.50000","0.22572","66.48119"
"8.55000","0.22578","67.03726"
"8.60000","0.22580","67.75449"
"8.65000","0.22586","68.27887"
"8.70000","0.22588","68.99722"
"8.75000","0.22594","69.48189"
"8.80000","0.22596","70.04110"
"8.85000","0.22602","70.66528"
"8.90000","0.22607","71.11624"
"8.95000","0.22610","71.89972"
"9.00000","0.22615","72.64142"
"9.05000","0.22618","73.14304"
"9.10000","0.22623","73.86688"
"9.15000","0.22626","74.26895"
"9.20000","0.22631","75.31266"
"9.25000","0.22637","75.33994"
"9.30000","0.22639","76.12909"
"9.35000","0.22645","76.76844"
"9.40000","0.22647","77.47324"
"9.45000","0.22653","78.02745"
"9.50000","0.22658","78.65145"
"9.55000","0.22662","79.49972"
"9.60000","0.22666","80.39610"
"9.65000","0.22671","80.62664"
"9.70000","0.22676","81.40004"
"9.75000","0.22679","82.01543"
"9.80000","0.22685","82.20343"
"9.85000","0.22689","83.27675"
"9.90000","0.22693","83.95982"
"9.95000","0.22698","84.39949"
"10.00000","0.22701","84.70198"
"10.05000","0.22706","85.88089"
"10.10000","0.22709","86.33569"
"10.15000","0.22714","86.79655"
"10.20000","0.22717","87.49318"
"10.25000","0.22722","87.92815"
"10.30000","0.22725","88.56341"
"10.35000","0.22730","89.32316"
"10.40000","0.22733","90.01994"
"10.45000","0.22738","90.40903"
"10.50000","0.22741","91.15465"
"10.55000","0.22746","91.45537"
"10.60000","0.22749","92.17867"
"10.65000","0.22754","92.66145"
"10.70000","0.22757","93.21723"
"10.75000","0.22760","93.98357"
"10.80000","0.22763","94.17945"
"10.85000","0.22768","94.61649"
"10.90000","0.22771","95.24880"
"10.95000","0.22776","95.75731"
"11.00000","0.22779","96.49346"
"11.05000","0.22784","96.97943"
"11.10000","0.22788","97.61179"
"11.15000","0.22792","98.38844"
"11.20000","0.22797","99.12233"
"11.25000","0.22800","99.62963"
"11.30000","0.22805","100.38943"
"11.35000","0.22808","100.73692"
"11.40000","0.22813","101.85675"
"11.45000","0.22816","102.17491"
"11.50000","0.22821","102.71604"
"11.55000","0.22824","103.04025"
"11.60000","0.22829","104.12357"
"11.65000","0.22834","104.59042"
"11.70000","0.22838","104.85558"
"11.75000","0.22843","105.65558"
"11.80000","0.22846","106.53272"
"11.85000","0.22851","107.14092"
"11.90000","0.22855","107.49247"
"11.95000","0.22859","108.42306"
"12.00000","0.22864","109.03125"
"12.05000","0.22867","109.68250"
"12.10000","0.22872","110.34956"
"12.15000","0.22875","111.18152"
"12.20000","0.22880","111.49589"
"12.25000","0.22886","112.36222"
"12.30000","0.22888","113.16685"
"12.35000","0.22894","113.41880"
"12.40000","0.22899","114.41194"
"12.45000","0.22902","115.05829"
"12.50000","0.22907","115.42352"
"12.55000","0.22910","116.33794"
"12.60000","0.22915","117.18295"
"12.65000","0.22921","117.82137"
"12.70000","0.22926","118.28663"
"12.75000","0.22931","119.16179"
"12.80000","0.22934","120.11200"
"12.85000","0.22939","120.40535"
"12.90000","0.22945","121.24346"
"12.95000","0.22947","121.83186"
"13.00000","0.22953","122.61732"
"13.05000","0.22955","123.03014"
"13.10000","0.22961","123.61619"
"13.15000","0.22963","124.26046"
"13.20000","0.22969","125.06028"
"13.25000","0.22974","125.87653"
"13.30000","0.22977","126.23430"
"13.35000","0.22982","127.02623"
"13.40000","0.22985","127.50539"
"13.45000","0.22990","128.02313"
"13.50000","0.22993","128.69257"
"13.55000","0.22998","129.30109"
"13.60000","0.23001","129.97975"
"13.65000","0.23006","130.40318"
"13.70000","0.23009","131.18732"
"13.75000","0.23014","131.84766"
"13.80000","0.23020","132.62184"
"13.85000","0.23022","132.91840"
"13.90000","0.23028","133.69264"
"13.95000","0.23030","134.14388"
"14.00000","0.23036","134.97748"
"14.05000","0.23038","135.60274"
"14.10000","0.23044","136.40175"
"14.15000","0.23046","136.86766"
"14.20000","0.23052","137.29501"
"14.25000","0.23057","138.06602"
"14.30000","0.23060","138.80173"
"14.35000","0.23063","139.40112"
"14.40000","0.23065","139.84314"
"14.45000","0.23071","140.28232"
"14.50000","0.23076","140.97206"
"14.55000","0.23080","141.59709"
"14.60000","0.23084","142.55489"
"14.65000","0.23089","143.20343"
"14.70000","0.23094","143.92049"
"14.75000","0.23097","144.56880"
"14.80000","0.23103","145.03346"
"14.85000","0.23105","145.73567"
"14.90000","0.23111","146.63573"
"14.95000","0.23113","147.22755"
"15.00000","0.23119","147.94664"
"15.05000","0.23121","148.20552"
"15.10000","0.23127","149.30138"
"15.15000","0.23130","149.80070"
"15.20000","0.23135","150.49197"
"15.25000","0.23140","151.18942"
"15.30000","0.23143","152.07445"
"15.35000","0.23148","152.23128"
"15.40000","0.23151","153.13852"
"15.45000","0.23156","153.76292"
"15.50000","0.23159","154.42430"
"15.55000","0.23164","155.27701"
"15.60000","0.23168","155.54875"
"15.65000","0.23172","156.32458"
"15.70000","0.23178","157.07912"
"15.75000","0.23180","157.48628"
"15.80000","0.23186","158.43791"
"15.85000","0.23188","159.04355"
"15.90000","0.23194","159.71779"
"15.95000","0.23196","160.41330"
"16.00000","0.23202","160.83420"
"16.05000","0.23204","161.52132"
"16.10000","0.23210","162.17723"
"16.15000","0.23215","162.86632"
"16.20000","0.23218","163.81833"
"16.25000","0.23223","164.44646"
"16.30000","0.23226","164.91202"
"16.35000","0.23231","165.56212"
"16.40000","0.23234","166.16783"
"16.45000","0.23238","166.93668"
"16.50000","0.23242","167.27934"
"16.55000","0.23246","168.16129"
"16.60000","0.23250","168.62590"
"16.65000","0.23253","169.23682"
"16.70000","0.23258","169.65918"
"16.75000","0.23261","170.64188"
"16.80000","0.23266","171.20557"
"16.85000","0.23269","171.65977"
"16.90000","0.23271","172.10072"
"16.95000","0.23276","172.67882"
"17.00000","0.23279","173.70508"
"17.05000","0.23284","174.10265"
"17.10000","0.23288","174.72568"
"17.15000","0.23293","175.22870"
"17.20000","0.23296","176.08496"
"17.25000","0.23301","176.81900"
"17.30000","0.23304","177.32523"
"17.35000","0.23309","178.14444"
"17.40000","0.23312","179.00911"
"17.45000","0.23317","179.58667"
"17.50000","0.23321","180.06966"
"17.55000","0.23325","180.70901"
"17.60000","0.23330","181.60735"
"17.65000","0.23333","182.10735"
"17.70000","0.23338","183.03394"
"17.75000","0.23341","183.71089"
"17.80000","0.23346","184.40192"
"17.85000","0.23349","184.76192"
"17.90000","0.23354","185.62814"
"17.95000","0.23360","186.24651"
"18.00000","0.23363","187.12497"
"18.05000","0.23368","187.81630"
"18.10000","0.23371","188.50340"
"18.15000","0.23376","189.20140"
"18.20000","0.23381","189.80942"
"18.25000","0.23384","190.30916"
"18.30000","0.23389","190.97871"
"18.35000","0.23395","192.09300"
"18.40000","0.23397","192.43922"
"18.45000","0.23403","193.27727"
"18.50000","0.23406","193.98769"
"18.55000","0.23411","194.79346"
"18.60000","0.23416","195.51572"
"18.65000","0.23421","196.50862"
"18.70000","0.23424","196.90602"
"18.75000","0.23429","198.07625"
"18.80000","0.23435","198.82547"
"18.85000","0.23440","199.41249"
"18.90000","0.23443","200.11359"
"18.95000","0.23448","201.06197"
"19.00000","0.23451","201.69131"
"19.05000","0.23456","202.31886"
"19.10000","0.23461","202.99197"
"19.15000","0.23464","203.98239"
"19.20000","0.23470","204.49638"
"19.25000","0.23472","205.21454"
"19.30000","0.23478","206.13123"
"19.35000","0.23480","206.52719"
"19.40000","0.23483","207.27376"
"19.45000","0.23488","208.01500"
"19.50000","0.23494","208.84869"
"19.55000","0.23498","209.51587"
"19.60000","0.23502","209.97415"
"19.65000","0.23504","210.50111"
"19.70000","0.23510","210.92709"
"19.75000","0.23514","211.81630"
"19.80000","0.23518","212.70341"
"19.85000","0.23521","213.43736"
"19.90000","0.23526","214.19061"
"19.95000","0.23531","214.69382"
"20.00000","0.23534","215.36215"
"20.05000","0.23539","216.33260"
"20.10000","0.23542","216.97974"
"20.15000","0.23547","217.49437"
"20.20000","0.23550","218.18259"
"20.25000","0.23555","218.83528"
"20.30000","0.23558","219.42828"
"20.35000","0.23563","220.20827"
"20.40000","0.23566","220.76357"
"20.45000","0.23569","221.55081"
"20.50000","0.23574","222.19447"
"20.55000","0.23577","222.47318"
"20.60000","0.23582","223.13034"
"20.65000","0.23585","223.74356"
"20.70000","0.23590","224.62027"
"20.75000","0.23593","225.15453"
"20.80000","0.23598","225.68033"
"20.85000","0.23601","226.71022"
"20.90000","0.23606","227.10010"
"20.95000","0.23611","227.79764"
"21.00000","0.23614","228.42719"
"21.05000","0.23617","229.39085"
"21.10000","0.23622","229.98758"
"21.15000","0.23628","230.85034"
"21.20000","0.23630","231.41403"
"21.25000","0.23636","232.08820"
"21.30000","0.23638","232.97003"
"21.35000","0.23644","233.52753"
"21.40000","0.23649","234.13292"
"21.45000","0.23652","235.06116"
"21.50000","0.23657","235.36066"
"21.55000","0.23660","236.22107"
"21.60000","0.23665","236.92798"
"21.65000","0.23670","237.96234"
"21.70000","0.23673","238.59715"
"21.75000","0.23679","239.37425"
"21.80000","0.23684","240.11548"
"21.85000","0.23687","240.54155"
"21.90000","0.23692","241.70255"
"21.95000","0.23697","242.68721"
"22.00000","0.23702","243.35806"
"22.05000","0.23705","243.69801"
"22.10000","0.23711","244.84544"
"22.15000","0.23713","245.01094"
"22.20000","0.23719","246.06187"
"22.25000","0.23721","246.72758"
"22.30000","0.23727","247.23175"
"22.35000","0.23729","247.97749"
"22.40000","0.23735","248.53740"
"22.45000","0.23738","249.51152"
"22.50000","0.23743","250.17778"
"22.55000","0.23748","250.73431"
"22.60000","0.23751","251.47644"
"22.65000","0.23756","252.33810"
"22.70000","0.23759","253.16853"
"22.75000","0.23764","253.78496"
"22.80000","0.23767","254.46779"
"22.85000","0.23770","255.14130"
"22.90000","0.23775","255.56055"
"22.95000","0.23778","256.10162"
"23.00000","0.23780","256.72433"
"23.05000","0.23783","257.18625"
"23.10000","0.23788","257.87195"
"23.15000","0.23791","258.40488"
"23.20000","0.23796","259.33905"
"23.25000","0.23802","260.04599"
"23.30000","0.23804","260.67197"
"23.35000","0.23810","261.41751"
"23.40000","0.23813","261.93192"
"23.45000","0.23818","262.83221"
"23.50000","0.23821","263.58130"
"23.55000","0.23826","264.42664"
"23.60000","0.23829","265.01993"
"23.65000","0.23834","265.59158"
"23.70000","0.23837","266.40509"
"23.75000","0.23842","266.97125"
"23.80000","0.23847","267.79758"
"23.85000","0.23850","268.50003"
"23.90000","0.23855","269.30051"
"23.95000","0.23858","269.90002"
"24.00000","0.23863","271.12140"
"24.05000","0.23869","272.02435"
"24.10000","0.23871","272.40814"
"24.15000","0.23877","273.13412"
"24.20000","0.23879","274.08215"
"24.25000","0.23885","274.75598"
"24.30000","0.23888","275.21347"
"24.35000","0.23893","275.90283"
"24.40000","0.23898","276.89621"
"24.45000","0.23901","277.52856"
"24.50000","0.23906","278.34811"
"24.55000","0.23909","278.93997"
"24.60000","0.23914","279.89911"
"24.65000","0.23920","280.73093"
"24.70000","0.23922","281.41687"
"24.75000","0.23928","282.07001"
"24.80000","0.23933","283.23758"
"24.85000","0.23936","283.70041"
"24.90000","0.23941","284.43219"
"24.95000","0.23946","285.15683"
"25.00000","0.23952","286.32889"
"25.05000","0.23957","287.14606"
"25.10000","0.23960","287.80994"
"25.15000","0.23965","288.42691"
"25.20000","0.23968","289.04242"
"25.25000","0.23973","289.93790"
"25.30000","0.23976","290.33856"
"25.35000","0.23981","291.27826"
"25.40000","0.23984","291.79520"
"25.45000","0.23989","292.96008"
"25.50000","0.23993","293.29071"
"25.55000","0.23997","294.18295"
"25.60000","0.24003","294.93854"
"25.65000","0.24005","295.61359"
"25.70000","0.24011","296.24625"
"25.75000","0.24013","297.03055"
"25.80000","0.24019","297.89185"
"25.85000","0.24022","298.46622"
"25.90000","0.24027","299.35339"
"25.95000","0.24032","299.77487"
"26.00000","0.24035","300.46649"
"26.05000","0.24040","301.63699"
"26.10000","0.24043","302.21207"
"26.15000","0.24048","303.14413"
"26.20000","0.24051","303.59213"
"26.25000","0.24056","304.52161"
"26.30000","0.24059","304.83395"
"26.35000","0.24064","306.04810"
"26.40000","0.24067","306.58585"
"26.45000","0.24072","307.16278"
"26.50000","0.24075","307.85645"
"26.55000","0.24078","308.34464"
"26.60000","0.24083","309.23428"
"26.65000","0.24088","310.01459"
"26.70000","0.24094","310.77252"
"26.75000","0.24096","311.81897"
"26.80000","0.24102","312.31885"
"26.85000","0.24105","313.17462"
"26.90000","0.24110","313.83426"
"26.95000","0.24115","314.69864"
"27.00000","0.24118","315.52902"
"27.05000","0.24123","316.29819"
"27.10000","0.24126","316.57202"
"27.15000","0.24131","317.65387"
"27.20000","0.24134","318.38058"
"27.25000","0.24139","318.87054"
"27.30000","0.24142","319.89471"
"27.35000","0.24147","320.65570"
"27.40000","0.24153","321.64993"
"27.45000","0.24155","322.17535"
"27.50000","0.24160","322.73532"
"27.55000","0.24163","323.46594"
"27.60000","0.24169","324.23941"
"27.65000","0.24172","324.92593"
"27.70000","0.24177","325.96466"
"27.75000","0.24181","326.54346"
"27.80000","0.24185","327.06158"
"27.85000","0.24190","327.87350"
"27.90000","0.24193","328.94339"
"27.95000","0.24198","329.57419"
"28.00000","0.24201","329.98456"
"28.05000","0.24206","330.68866"
"28.10000","0.24209","331.73776"
"28.15000","0.24214","332.49423"
"28.20000","0.24219","333.25589"
"28.25000","0.24222","333.96814"
"28.30000","0.24227","334.54712"
"28.35000","0.24230","335.16913"
"28.40000","0.24236","336.02005"
"28.45000","0.24238","336.73138"
"28.50000","0.24244","337.42972"
"28.55000","0.24246","338.07822"
"28.60000","0.24252","338.82840"
"28.65000","0.24254","339.59021"
"28.70000","0.24260","340.29263"
"28.75000","0.24263","340.86722"
"28.80000","0.24266","341.34283"
"28.85000","0.24271","342.47266"
"28.90000","0.24273","342.90976"
"28.95000","0.24279","343.58249"
"29.00000","0.24281","344.37036"
"29.05000","0.24284","344.91174"
"29.10000","0.24289","345.75989"
"29.15000","0.24292","346.28729"
"29.20000","0.24297","346.71634"
"29.25000","0.24300","347.78503"
"29.30000","0.24305","348.53580"
